State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Unemployment
Maryland,Howard County,312495,152843,159652,6.5,54.1,18.1,0.2,17.3,0.0,115576,51045,5.2,4.2
Maryland,Kent County,19666,9426,10240,4.3,78.1,14.8,0.2,1.1,0.0,56638,32217,13.1,4.8
Maryland,Montgomery County,1039198,501571,537627,19.0,45.0,17.6,0.1,14.7,0.0,103178,51162,7.0,5.4
Maryland,Prince George's County,905161,435878,469283,17.4,13.3,62.3,0.2,4.3,0.0,78607,34391,9.3,7.3
Maryland,Queen Anne's County,49071,24230,24841,3.7,86.6,7.0,0.0,0.5,0.0,89241,40553,6.4,3.7
Maryland,St. Mary's County,110979,55420,55559,4.8,75.1,14.2,0.2,2.8,0.0,86508,37528,8.2,4.2
Maryland,Somerset County,25801,13821,11980,3.5,51.5,41.8,0.4,1.0,0.0,39239,18395,22.5,10.2
Maryland,Talbot County,37461,17595,19866,6.5,77.6,11.4,0.1,1.4,0.1,65595,44785,10.0,4.4
Maryland,Washington County,149546,75958,73588,4.5,80.4,10.0,0.1,1.7,0.0,58260,28742,12.8,6.8
Maryland,Wicomico County,102014,48622,53392,5.0,63.9,25.1,0.2,3.2,0.1,54493,27755,15.9,7.6
Maryland,Worcester County,51559,25205,26354,3.4,80.0,13.4,0.2,1.3,0.1,59458,34425,10.3,7.1
Maryland,Baltimore city,619796,291377,328419,5.0,27.6,62.3,0.2,2.6,0.0,46641,28488,22.4,10.0
Massachusetts,Barnstable County,213900,102152,111748,2.7,90.2,2.7,0.4,1.5,0.1,68048,40886,7.5,5.5
Massachusetts,Berkshire County,127751,61741,66010,4.3,89.0,2.6,0.2,1.6,0.0,55190,33245,11.3,6.8
Massachusetts,Bristol County,557016,269719,287297,7.3,82.8,3.5,0.0,2.2,0.0,62514,32406,12.2,6.9
Massachusetts,Dukes County,17275,8282,8993,1.6,87.0,3.7,1.6,0.3,0.0,67535,42956,8.4,3.0
Massachusetts,Essex County,775860,373886,401974,19.6,72.0,3.1,0.1,3.4,0.0,73533,38604,10.9,6.0
Massachusetts,Franklin County,70926,34663,36263,3.8,91.2,1.2,0.2,1.5,0.1,57307,33010,10.9,5.8
Massachusetts,Hampden County,469188,226391,242797,23.9,64.1,7.8,0.1,2.2,0.0,52205,28072,17.2,8.0
Massachusetts,Hampshire County,161197,75492,85705,5.4,84.2,2.8,0.1,5.3,0.0,64974,32198,13.8,6.5
Massachusetts,Middlesex County,1582857,773112,809745,7.7,73.3,4.8,0.1,11.2,0.0,92878,47616,8.2,4.8
Massachusetts,Nantucket County,10912,5804,5108,8.6,73.8,8.0,0.6,2.4,0.1,91942,47924,11.2,3.8
Massachusetts,Norfolk County,694389,333237,361152,4.2,76.7,6.3,0.1,10.3,0.0,95668,49816,6.5,5.5
Massachusetts,Plymouth County,509114,247788,261326,3.7,81.9,8.8,0.1,1.2,0.0,82081,39247,8.0,6.0
Massachusetts,Suffolk County,780685,377572,403113,22.3,45.5,20.2,0.2,8.6,0.0,61242,38031,19.6,7.1
Massachusetts,Worcester County,818249,403587,414662,10.8,77.9,4.3,0.2,4.7,0.0,69313,34691,11.1,6.1
Michigan,Alcona County,10413,5247,5166,1.4,96.0,0.3,0.5,0.4,0.0,39424,24463,14.9,9.3
Michigan,Alger County,9254,5088,4166,1.4,84.2,7.2,3.3,0.1,0.0,42647,21771,13.0,6.9
Michigan,Allegan County,114145,56997,57148,7.2,88.7,1.3,0.5,0.6,0.0,58487,27172,10.8,3.6
Michigan,Alpena County,28730,14169,14561,1.3,96.0,0.5,0.4,0.4,0.1,40954,24030,15.0,6.4
Michigan,Antrim County,23133,11479,11654,2.1,95.0,0.3,0.8,0.3,0.0,50988,29307,12.6,6.1
Michigan,Arenac County,15238,7714,7524,2.0,94.9,0.5,1.3,0.4,0.0,39947,22622,18.5,9.6
Michigan,Baraga County,8580,5112,3468,1.5,73.1,15.8,4.7,0.5,0.0,42757,18975,14.4,6.0
Michigan,Barry County,59607,29958,29649,2.7,94.6,0.4,0.2,0.5,0.0,57312,27166,9.3,6.2
Michigan,Bay County,105350,51875,53475,5.2,90.4,1.5,0.2,0.6,0.0,45983,25462,16.3,7.4
Michigan,Benzie County,17462,8694,8768,2.4,93.9,0.3,1.4,0.4,0.0,53185,26790,10.0,6.5
Michigan,Berrien County,154948,75835,79113,5.2,75.1,14.6,0.3,1.9,0.0,47132,27505,17.2,7.3
Michigan,Branch County,43543,22517,21026,4.5,90.9,2.3,0.3,0.5,0.0,48192,22977,15.9,4.6
Michigan,Calhoun County,134327,65652,68675,5.0,78.3,10.6,0.6,2.1,0.0,46213,24859,17.4,7.4
Michigan,Cass County,51397,25861,25536,3.7,86.4,4.8,1.1,0.8,0.0,50699,28019,13.6,7.8
Michigan,Charlevoix County,26160,12868,13292,1.8,94.0,0.4,1.2,0.4,0.1,51567,31730,11.6,6.2
Michigan,Cheboygan County,25475,12680,12795,1.3,92.2,0.8,2.0,0.4,0.0,42876,24956,16.8,10.7
Michigan,Chippewa County,38023,20948,17075,1.8,70.1,6.4,13.9,1.0,0.1,44030,21958,17.1,9.0
Michigan,Clare County,30597,15148,15449,1.9,95.1,0.5,0.5,0.3,0.0,35913,21198,23.6,11.5
Michigan,Clinton County,77321,38231,39090,4.4,90.2,1.7,0.1,1.5,0.0,64903,32792,10.1,4.3
Michigan,Crawford County,13821,6953,6868,1.8,95.0,0.7,0.5,0.6,0.1,42666,22891,16.4,10.4
Michigan,Delta County,36395,18084,18311,1.2,93.2,0.3,1.8,0.4,0.0,44639,25582,14.4,6.5
Michigan,Dickinson County,25694,12819,12875,1.4,95.6,0.6,0.8,0.6,0.0,45681,25998,15.2,6.0
Michigan,Eaton County,108586,53065,55521,5.2,83.4,6.5,0.5,2.1,0.0,59244,30064,10.9,5.8
Michigan,Emmet County,32978,16359,16619,1.6,91.4,0.5,2.2,0.6,0.1,51475,31356,10.7,6.1
Michigan,Genesee County,410881,198115,212766,3.3,72.5,19.8,0.4,1.0,0.0,45231,25180,20.0,10.8
Michigan,Gladwin County,25324,12719,12605,1.5,96.2,0.4,0.5,0.5,0.0,40871,23491,20.2,7.4
Michigan,Gogebic County,15577,8445,7132,1.3,89.6,4.2,2.7,0.3,0.1,36689,22297,20.4,6.7
Michigan,Grand Traverse County,91222,44860,46362,2.7,92.6,1.1,0.9,0.6,0.1,58229,31701,9.7,5.4
Michigan,Gratiot County,41319,21937,19382,5.8,86.5,5.6,0.2,0.3,0.0,42256,20597,20.5,7.4
Michigan,Hillsdale County,45909,22902,23007,2.2,95.1,0.7,0.4,0.4,0.0,46160,23831,17.0,6.1
Michigan,Houghton County,36333,19713,16620,1.5,92.4,0.7,0.3,2.9,0.0,41379,21462,21.4,6.8
Michigan,Huron County,31750,15777,15973,2.3,95.5,0.4,0.3,0.6,0.0,45191,26352,13.6,5.8
Michigan,Ingham County,286185,139183,147002,7.6,70.6,10.6,0.3,6.0,0.0,49109,27399,20.9,8.1
