Q1,Q2,Q3,Q4,Q5
1 Los Angeles_CA  1591,1 Montgomery_MD    43,1 CA     4544,1 FL    0.0027 ,1 MT        32  
2 Harris_TX        630,2 Frederick_MD     32,2 TX     1964,2 GA    0.00215,2 WY        34  
,,,3 CA    0.0019 ,3 MN        39.9
,,,,4 NH        49.0
