full_name,diameter,rot_per
   197 Arete,31.729,6.6084
   198 Ampella,54.323,10.379
   199 Byblis,76.129,5.2201
   200 Dynamene,128.301,37.394
   201 Penelope,85.877,3.7474
   202 Chryseis,86.15,23.670
   203 Pompeja,124.592,24.052
   204 Kallisto,48.566,19.489
   205 Martha,76.983,14.911
   206 Hersilia,113,11.122
   207 Hedda,57.880,30.098
   208 Lacrimosa,40.056,14.085
   209 Dido,179.008,5.7366
   210 Isabella,86.65,6.672
   211 Isolda,141.125,18.365
   212 Medea,136.12,10.283
   213 Lilaea,82.096,12.042
   214 Aschera,24.957,6.835
   215 Oenone,35.210,27.937
   216 Kleopatra,122,5.385
   217 Eudora,65.392,25.272
   218 Bianca,60.62,6.337
   219 Thusnelda,37.674,59.74
   220 Stephania,31.738,18.198
   221 Eos,95.469,10.443
   222 Lucia,55.350,7.8371
   223 Rosa,79.806,20.283
   224 Oceana,58.236,9.401
   225 Henrietta,95.934,7.3556
   226 Weringia,31.494,11.147
   227 Philosophia,123.891,26.468
   228 Agathe,9.30,6.484
   229 Adelinda,105.912,6.60
   230 Athamantis,111.332,24.0055
   231 Vindobona,73.545,14.245
   232 Russia,49.863,21.905
   233 Asterope,99.672,19.70
   234 Barbara,45.476,26.4744
   235 Carolina,57.517,17.610
   236 Honoria,77.708,12.336
   237 Coelestina,41.08,29.215
   238 Hypatia,155.659,8.8749
   239 Adrastea,37.609,18.4707
   240 Vanadis,87.928,10.64
   241 Germania,168.90,15.51
   242 Kriemhild,40.802,4.5478
   243 Ida,32,4.634
   244 Sita,11.077,129.51
   245 Vera,75.949,14.38
   246 Asporina,50.891,16.222
   247 Eukrate,130.935,12.093
   248 Lameia,50.120,11.912
   249 Ilse,34.83,84.94
   250 Bettina,120.995,5.0545
   251 Sophia,27.495,20.216
   252 Clementina,65.344,10.864
   253 Mathilde,52.8,417.7
   254 Augusta,12.467,5.8949
   255 Oppavia,56.939,19.499
   256 Walpurga,66.634,16.664
   257 Silesia,72.66,15.7095
   258 Tyche,64.78,10.041
   259 Aletheia,174.318,8.143
   260 Huberta,101.539,8.29
   261 Prymno,50.011,8.002
