full_name,diameter,rot_per
  3728 IRAS (1983 QF),23.450,8.323
  3729 Yangzhou (1983 VP7),12.630,29.158
  3730 Hurban (1983 XM1),26.996,4.649
  3731 Hancock (1984 DH1),53.112,6.712
  3735 Trebon (1983 XS),20.974,8.471
  3737 Beckman (1983 PA),6.968,3.124
  3738 Ots (1977 QA1),7.036,4.17025
  3743 Pauljaniczek (1983 EW),4.621,4.558
  3744 Horn-d'Arturo (1983 VE),14.758,6.15
  3746 Heyuan (1964 TC1),15.202,16.3010
  3747 Belinskij (1975 VY5),26.73,14.6
  3749 Balam (1982 BG1),4.663,2.80483
  3751 Kiang (1983 NK),24.054,8.2421
  3752 Camillo (1985 PA),2.306,37.846
  3753 Cruithne (1986 TO),2.071,27.30990
  3754 Kathleen (1931 FM),53.699,11.18
  3755 Lecointe (1950 SJ),4.119,27.920
  3757 Anagolay (1982 XB),0.5,9.012
  3758 Karttunen (1983 WP),7.812,12.50101
  3759 Piironen (1984 AP),32.15,409.848
  3761 Romanskaya (1936 OH),32.132,15.32
  3763 Qianxuesen (1980 TA6),6.984,3.884
  3767 DiMaggio (1986 LC),13.393,6.581
  3772 Piaf (1982 UR7),18.984,5.376
  3776 Vartiovuori (1938 GG),22.496,7.7
  3779 Kieffer (1985 JV1),14.660,2.848
  3780 Maury (1985 RL),12.196,3.46
  3782 Celle (1986 TE),5.924,3.84
  3783 Morris (1986 TW1),4.939,6.816
  3784 Chopin (1986 UL1),29.346,12.72
  3785 Kitami (1986 WM),19.761,3.7992
  3786 Yamada (1988 AE),12.516,4.034
  3787 Aivazovskij (1977 RG7),12.089,2.95395
  3789 Zhongguo (1928 UF),14.006,3.840
  3790 Raywilson (1937 UE),14.028,4.654
  3791 Marci (1981 WV1),11.708,10.584
  3792 Preston (1985 FA),5.161,2.9274
  3793 Leonteus (1985 TE3),112.046,5.682
  3794 Sthenelos (1985 TF3),34.531,12.877
  3800 Karayusuf (1984 AB),1.624,2.2319
  3801 Thrasymedes (1985 VS),34.285,20.270
  3805 Goldreich (1981 DK3),12.9,4.841
  3807 Pagels (1981 SE1),5.532,3.3
  3809 Amici (1984 FA),8.243,5.71
  3810 Aoraki (1985 DX),5.629,29.807
  3811 Karma (1953 TH),30.344,13.23
  3812 Lidaksum (1965 AK1),33.611,8.014
  3813 Fortov (1970 QA1),5.220,12.3
  3815 Konig (1959 GG),20.129,6.239
  3820 Sauval (1984 DV),12.649,3.270
  3821 Sonet (1985 RC3),15.115,9.559
  3823 Yorii (1988 EC1),12.438,6.669
  3824 Brendalee (1929 TK),5.183,4.520
  3825 Nurnberg (1967 UR),6.455,4.0301
  3829 Gunma (1988 EM),24.33,4.728
  3831 Pettengill (1986 TP2),5.776,4.78
  3839 Bogaevskij (1971 OU),7.402,129.936
  3841 Dicicco (1983 VG7),6.252,3.5950
  3842 Harlansmith (1985 FC1),7.040,2.7938
  3843 OISCA (1987 DM),30.768,19.089
  3844 Lujiaxi (1966 BZ),15.538,13.33
  3845 Neyachenko (1979 SA10),25.817,12.140
  3849 Incidentia (1984 FC),5.798,2.778
  3851 Alhambra (1986 UZ),6.504,53.
  3854 George (1983 EA),3.023,3.3398
  3855 Pasasymphonia (1986 NF1),5.719,6.5131
  3860 Plovdiv (1986 PM4),12.812,6.114
  3861 Lorenz (A910 FA),8.175,11.91
  3865 Lindbloom (1988 AY4),7.972,5.42
  3866 Langley (1988 BH4),23.310,9.500
  3867 Shiretoko (1988 HG),5.345,28.035
  3868 Mendoza (4575 P-L),8.628,2.77090
  3870 Mayre (1988 CG3),11.904,3.9915
  3872 Akirafujii (1983 AV),12.538,10.635
  3873 Roddy (1984 WB),5.021,2.4782
  3879 Machar (1983 QA),5.712,4.131
  3880 Kaiserman (1984 WK),3.071,5.270
  3883 Verbano (1972 RQ),11.805,50.8
  3885 Bogorodskij (1979 HG5),15.049,5.803
  3888 Hoyt (1984 FO),5.226,84.2
  3892 Dezso (1941 HD),7.836,3.62810
  3893 DeLaeter (1980 FG12),12.786,13.83
  3894 Williamcooke (1980 PQ2),8.778,3.10
  3895 Earhart (1987 DE),10.384,3.5645
  3896 Pordenone (1987 WB),18.354,4.009
  3899 Wichterle (1982 SN1),21.174,5.8572
  3900 Knezevic (1985 RK),4.959,5.324
  3903 Kliment Ohridski (1987 SV2),9.755,28.09
  3904 Honda (1988 DQ),14.797,24.
  3905 Doppler (1984 QO),8.021,50.8
  3906 Chao (1987 KE1),46.247,11.892
  3907 Kilmartin (A904 PC),8.581,3.841
  3908 Nyx (1980 PA),1.0,4.42601
  3909 Gladys (1988 JD1),10.108,6.83
  3911 Otomo (1940 QB),19.090,10.6
  3914 Kotogahama (1987 SE),14.859,16.716
  3915 Fukushima (1988 PA1),21.993,9.418
  3918 Brel (1988 PE1),6.262,3.0980
  3922 Heather (1971 SP3),13.979,5.045
  3923 Radzievskij (1976 SN3),29.870,39.93
  3924 Birch (1977 CU),16.813,18.74
  3925 Tret'yakov (1977 SS2),51.289,30.962
  3928 Randa (1981 PG),5.733,29.9
  3932 Edshay (1984 SC5),12.155,3.444
  3935 Toatenmongakkai (1987 PB),9.612,106.3
  3936 Elst (2321 T-3),4.593,6.6322
  3940 Larion (1973 FE1),5.079,84.
  3944 Halliday (1981 WP1),5.873,5.565
  3945 Gerasimenko (1982 PL),19.571,272.332
  3946 Shor (1983 EL2),17.173,5.590
  3947 Swedenborg (1983 XD),15.524,38.557
  3948 Bohr (1985 RF),5.144,24.884
  3951 Zichichi (1986 CK1),6.720,3.39423
  3952 Russellmark (1986 EM2),4.658,5.090
  3953 Perth (1986 VB6),4.799,5.083
  3956 Caspar (1988 VL1),5.439,2.77120
  3958 Komendantov (1953 TC),6.084,11.2947
  3960 Chaliubieju (1955 BG),8.997,3.986
  3962 Valyaev (1967 CC),16.285,16.440
  3965 Konopleva (1975 VA9),9.517,6.8709
  3970 Herran (1979 ME9),8.564,8.09
  3971 Voronikhin (1979 YM8),31.996,5.552
  3973 Ogilvie (1981 UC1),6.204,21.211
  3974 Verveer (1982 FS),8.295,8.51
  3975 Verdi (1982 UR3),9.685,8.158
  3976 Lise (1983 JM),29.049,15.6912
  3979 Brorsen (1983 VV1),18.732,5.482
  3981 Stodola (1984 BL),22.204,102.657
  3982 Kastel' (1984 JP1),6.790,8.488
  3983 Sakiko (1984 SX),16.39,10.526
  3985 Raybatson (1985 CX),19.631,4.298
  3986 Rozhkovskij (1985 SF2),6.768,3.548
  3987 Wujek (1986 EL1),13.737,8.037
  3988 Huma (1986 LA),0.7,10.4
  3990 Heimdal (1987 SO3),35.679,20.
  3991 Basilevsky (1987 SW3),5.628,5.440
  3992 Wagner (1987 SA7),17.131,20.628
  3996 Fugaku (1988 XG1),5.151,7.193
  3998 Tezuka (1989 AB),6.859,3.0789
  3999 Aristarchus (1989 AL),18.275,12.58
  4000 Hipparchus (1989 AV),17.485,3.418
  4002 Shinagawa (1950 JB),9.978,175.0
  4003 Schumann (1964 ED),36.115,5.7502
  4005 Dyagilev (1972 TC2),7.693,6.400
  4006 Sandler (1972 YR),15.894,3.40
  4007 Euryalos (1973 SR),45.515,6.391
  4008 Corbin (1977 BY),5.424,6.203
  4009 Drobyshevskij (1977 EN1),18.198,3.875
  4010 Nikol'skij (1977 QJ2),5.376,3.877
  4011 Bakharev (1978 SC6),3.687,4.206
  4012 Geballe (1978 VK9),5.808,5.88597
  4013 Ogiria (1979 OM15),15.695,3.490
  4014 Heizman (1979 SG10),36.83,9.36
  4015 Wilson-Harrington (1979 VA),4,3.5736
  4022 Nonna (1981 TL4),3.670,2.5877
  4023 Jarnik (1981 UN),5.580,4.776
  4024 Ronan (1981 WQ),12.162,356.
  4029 Bridges (1982 KC1),7.433,3.5746
  4031 Mueller (1985 CL),3.875,2.9420
  4035 (1986 WD),68.733,13.467
  4037 Ikeya (1987 EC),7.083,4.057537
  4039 Souseki (1987 SH),6.634,2.77203
  4041 Miyamotoyohko (1988 DN1),26.244,7.694
  4045 Lowengrub (1953 RG),32.369,9.764
  4046 Swain (1953 TV),13.169,7.185
  4049 Noragal' (1973 QD2),21.003,9.2
  4055 Magellan (1985 DO2),2.49,7.475
  4057 Demophon (1985 TQ),45.683,29.82
  4058 Cecilgreen (1986 JV),15.405,7.34
  4060 Deipylos (1987 YT1),84.043,9.298
  4063 Euforbo (1989 CG2),95.619,8.846
  4067 Mikhel'son (1966 TP),7.266,2.2461
  4068 Menestheus (1973 SW),67.625,14.40
  4070 Rozov (1980 RS2),5.237,5.8956
  4072 Yayoi (1981 UJ4),4.694,4.006
  4077 Asuka (1982 XV1),19.475,7.919
  4078 Polakis (1983 AC),19.647,4.831
  4082 Swann (1984 SW3),9.535,4.03632
  4085 Weir (1985 JR),9.221,14.602
  4086 Podalirius (1985 VK2),85.495,10.43
  4087 Part (1986 EM1),6.405,16.47
  4090 Risehvezd (1986 RH1),7.195,4.55
  4091 Lowe (1986 TL2),22.571,16.59
  4100 Sumiko (1988 BF),15.561,6.2108
  4104 Alu (1989 ED),8.595,6.
  4107 Rufino (1989 GT),12.854,15.31
  4112 Hrabal (1981 ST),45.507,9.298
  4113 Rascana (1982 BQ),7.264,4.416
  4116 Elachi (1982 SU),4.693,38.143
  4122 Ferrari (1986 OA),8.889,8.45
  4125 Lew Allen (1987 MO),6.392,4.629
  4132 Bartok (1988 EH),9.723,3.297
  4134 Schutz (1961 CR),3.947,5.207
  4135 Svetlanov (1966 PG),24.207,10.559
  4138 Kalchas (1973 SM),46.462,29.2
  4145 Maximova (1981 SJ7),5.266,19.872
  4147 Lennon (1983 AY),5.171,137.
  4149 Harrison (1984 EZ),10.130,3.7490
  4150 Starr (1984 QC1),6.641,4.5179
  4151 Alanhale (1985 HV1),19.526,11.918
  4154 Rumsey (1985 NE),6.213,3.2569
  4155 Watanabe (1987 UB1),6.022,4.4972
  4156 Okadanoboru (1988 BE),15.479,12.015
  4158 Santini (1989 BE),16.797,144.428
  4159 Freeman (1989 GK),17.31,4.4021
  4162 SAF (1940 WA),24.768,7.5
  4164 Shilov (1969 UR),10.486,18.5
  4167 Riemann (1978 TQ7),12.916,4.060
  4169 Celsius (1980 FO3),37.303,10.887
  4170 Semmelweis (1980 PT),16.820,5.31
  4171 Carrasco (1982 FZ1),4.940,33.53
  4172 Rochefort (1982 FC3),3.353,3.68
  4174 Pikulia (1982 SB6),22.181,19.59
  4175 Billbaum (1985 GX),8.873,2.73
  4176 Sudek (1987 DS),18.858,8.164
  4179 Toutatis (1989 AC),5.4,176.
  4182 Mount Locke (1951 JQ),10.397,3.0179
  4183 Cuno (1959 LM),2.945,3.5595
  4188 Kitezh (1979 HX4),6.588,2.58
  4190 Kvasnica (1980 JH),7.409,13.42
  4191 Assesse (1980 KH),7.431,5.6489
  4192 Breysacher (1981 DH),21.245,7.394
  4196 Shuya (1982 SA13),38.069,20.
  4197 Morpheus (1982 TA),1.8,3.5380
  4201 Orosz (1984 JA1),32.985,17.3849
  4204 Barsig (1985 JG1),5.830,2.2663
  4207 Chernova (1986 RO2),13.300,10.288
  4209 Briggs (1986 TG4),31.303,12.22
  4212 Sansyu-Asuke (1987 SB2),16.895,15.94
  4214 Veralynn (1987 UX4),8.237,7.60
  4215 Kamo (1987 VE1),6.551,12.6
  4217 Engelhardt (1988 BO2),8.742,3.0661
  4219 Nakamura (1988 DB),11.417,115.492
  4221 Picasso (1988 EJ),10.823,3.1114
  4222 Nancita (1988 EK1),9.636,3.8732
  4223 Shikoku (1988 JM),22.869,9.137
  4224 Susa (1988 KG),34.730,6.178
  4226 Damiaan (1989 RE),33.065,24.
  4228 Nemiro (1968 OC1),3.469,2.772
  4230 van den Bergh (1973 ST1),28.461,87.918
  4231 Fireman (1976 WD),13.28,28.0
  4232 Aparicio (1977 CD),3.287,54.4
  4234 Evtushenko (1978 JT1),15.723,3.45
  4242 Brecher (1981 FQ),14.112,7.68
  4246 Telemann (1982 SY2),4.808,8.960
  4251 Kavasch (1985 JK1),4.308,3.166
  4252 Godwin (1985 RG4),7.376,11.623
  4254 Kamel (1985 UT3),9.640,2.739
  4255 Spacewatch (1986 GW),15.111,20.
  4263 Abashiri (1989 RL2),8.981,4.8820
  4264 Karljosephine (1989 TB),4.457,30.96
  4265 Kani (1989 TX),14.244,5.7279
  4266 Waltari (1940 YE),22.638,11.200
  4272 Entsuji (1977 EG5),7.675,2.8087
  4274 Karamanov (1980 RZ3),13.402,4.196
  4282 Endate (1987 UQ1),7.386,34.
  4283 Stoffler (1988 BZ),7.011,136.
  4284 Kaho (1988 FL3),10.938,4.0584
  4285 Hulkower (1988 NH),7.799,6.1501
  4287 Trisov (1989 RU2),5.900,5.494
  4288 Tokyotech (1989 TQ1),12.296,3.181
  4289 Biwako (1989 UA2),7.694,4.4185
  4290 Heisei (1989 UK3),17.276,10.63
  4293 Masumi (1989 VT),15.795,36.
  4294 Horatius (4016 P-L),8.484,12.499
  4297 Eichhorn (1938 HE),3.668,4.105
  4298 Jorgenunez (1941 WA),16.507,30.474
  4299 WIYN (1952 QX),7.938,26.
  4300 Marg Edmondson (1955 SG1),3.971,9.328
  4302 Markeev (1968 HP),7.450,5.134
  4308 Magarach (1978 PL4),9.467,33.8
  4317 Garibaldi (1980 DA1),38.611,8.917
  4318 Bata (1980 DE1),25.790,10.571
  4324 Bickel (1981 YA1),11.654,26.592
  4327 Ries (1982 KB1),14.80,126.562
  4332 Milton (1983 RC),11.54,3.295
  4335 Verona (1983 VC7),5.15,3.5943
  4338 Velez (1985 PB1),4.043,3.166
  4339 Almamater (1985 UK),4.156,30.84
  4340 Dence (1986 JZ),8.110,7.546
  4343 Tetsuya (1988 AC),18.271,7.392
  4344 Buxtehude (1988 CR1),15.913,18.087
  4347 Reger (1988 PK2),16.686,15.960
  4348 Poulydamas (1988 RU),82.032,9.908
  4349 Tiburcio (1989 LX),26.397,16.284
  4350 Shibecha (1989 UG1),11.489,2.890
  4351 Nobuhisa (1989 UR1),8.250,2.919
  4352 Kyoto (1989 UW1),11.610,21.9352
  4353 Onizaki (1989 WK1),11.239,4.429
  4357 Korinthos (2069 T-2),18.360,6.619
  4358 Lynn (A909 TF),9.122,3.8377
  4359 Berlage (1935 TG),5.084,7.413
  4360 Xuyi (1964 TG2),12.736,5.939
  4363 Sergej (1978 TU7),4.910,13.04
  4365 Ivanova (1978 VH8),7.389,9.84
  4368 Pillmore (1981 JC2),21.820,3.6054
  4369 Seifert (1982 OR),16.019,30.573
  4374 Tadamori (1987 BJ),5.687,4.50474
  4377 Koremori (1987 GD),9.520,11.107
  4378 Voigt (1988 JF),10.776,10.796
  4383 Suruga (1989 XP),6.471,3.4069
  4385 Elsasser (2534 P-L),10.813,5.57
  4388 Jurgenstock (1964 VE),4.690,2.80956
  4391 Balodis (1977 QW2),3.359,3.448
  4399 Ashizuri (1984 UA),8.785,2.829
  4401 Aditi (1985 TB),1.801,6.670
  4404 Enirac (1987 GG),6.233,2.9983
  4405 Otava (1987 QD1),16.034,2.879
  4410 Kamuimintara (1989 YA),14.494,4.9349
  4411 Kochibunkyo (1990 AF),4.433,2.6958
  4417 Lecar (1931 GC),11.100,3.1758
  4418 Fredfranklin (1931 TR1),7.030,4.8190
  4422 Jarre (1942 UA),6.336,5.428
  4423 Golden (1949 GH),9.865,10.51
  4424 Arkhipova (1967 DB),24.019,14.673
  4425 Bilk (1967 UQ),5.279,5.251
  4431 Holeungholee (1978 WU14),23.856,9.81
  4433 Goldstone (1981 QP),8.433,10.115
  4436 Ortizmoreno (1983 EX),30.74,8.24
  4437 Yaroshenko (1983 GA2),4.744,30.
  4440 Tchantches (1984 YV),2.093,2.7883
  4441 Toshie (1985 BB),6.453,8.178
  4445 Jimstratton (1985 TC),4.138,3.74
  4446 Carolyn (1985 TT),28.645,40.92
  4448 Phildavis (1986 EO),12.690,14.914
  4452 Ullacharles (1988 RN),15.622,9.3085
  4455 Ruriko (1988 XA),13.794,4.23
  4457 van Gogh (1989 RU),10.491,7.6056
  4459 Nusamaibashi (1990 BP2),4.209,287.484
  4461 Sayama (1990 EL),17.233,40.8
  4467 Kaidanovskij (1975 VN2),12.693,12.
  4471 Graculus (1978 VB),11.701,11.85
  4472 Navashin (1980 TY14),5.145,20.
  4475 Voitkevich (1982 UQ5),5.296,3.89
  4477 Kelley (1983 SB),4.763,4.3773
  4479 Charlieparker (1985 CP1),6.883,2.890
  4483 Petofi (1986 RC2),5.850,4.33309
  4486 Mithra (1987 SB),1.849,67.5
  4489 (1988 AK),76.595,12.582
  4490 Bambery (1988 ND),9.316,5.815
  4492 Debussy (1988 SH),17.359,26.606
  4493 Naitomitsu (1988 TG1),16.809,5.04
  4497 Taguchi (1989 AE1),7.830,3.563
  4498 Shinkoyama (1989 AG1),16.071,5.2068
  4501 Eurypylos (1989 CJ3),45.524,6.054
  4502 Elizabethann (1989 KG),11.634,4.7630
  4505 Okamura (1990 DV1),18.762,6.6687
  4506 Hendrie (1990 FJ),8.754,5.511
  4507 Petercollins (1990 FV),11.024,6.58
  4509 Gorbatskij (A917 SG),11.562,6.006
  4511 Rembrandt (1935 SP1),8.241,3.8369
  4512 Sinuhe (1939 BM),10.767,18.00
  4513 Louvre (1971 QW1),12.997,2.937
  4517 Ralpharvey (1975 SV),3.445,3.600
  4519 Voronezh (1976 YO4),5.000,7.442
  4520 Dovzhenko (1977 QJ3),5.890,4.7340
  4522 Britastra (1980 BM),20.843,2.77
  4524 Barklajdetolli (1981 RV4),12.117,1069.
  4527 Schoenberg (1982 OK),3.940,2.69
  4528 Berg (1983 PP),9.356,3.5163
  4529 Webern (1984 ED),10.427,3.469
  4531 Asaro (1985 FC),2.216,4.144
  4533 Orth (1986 EL),7.608,24.
  4534 Rimskij-Korsakov (1986 PV4),15.838,11.646
  4535 Adamcarolla (1986 QV2),9.972,10.211
  4541 Mizuno (1989 AF),6.294,2.82784
  4542 Mossotti (1989 BO),18.030,2.934
  4543 Phoinix (1989 CQ1),63.836,38.866
  4544 Xanthus (1989 FB),1.3,37.65
  4547 Massachusetts (1990 KP),33.036,7.703
  4553 Doncampbell (1982 RH),8.996,13.021
  4554 Fanynka (1986 UT),26.315,4.779
  4555 Josefaperez (1987 QL),3.126,2.8847
  4562 Poleungkuk (1979 UD2),15.006,9.475
  4563 Kahnia (1980 OG),5.102,12.416
  4565 Grossman (1981 EZ17),7.360,4.7429
  4569 Baerbel (1985 GV1),9.395,2.737
  4570 Runcorn (1985 PR),3.944,20.
  4571 Grumiaux (1985 RY3),15.115,6.402
  4572 Brage (1986 RF),8.079,2.99105
  4576 Yanotoyohiko (1988 CC),17.151,9.40
  4577 Chikako (1988 WG),11.270,5.83
  4585 Ainonai (1990 KQ),10.920,38.31
  4589 McDowell (1933 OB),6.365,3.402
  4594 Dashkova (1980 KR1),4.012,65.423
  4600 Meadows (1985 RE4),13.305,11.682
  4603 Bertaud (1986 WM3),22.496,9.6
  4605 Nikitin (1987 SV17),4.548,2.82726
  4606 Saheki (1987 UM1),6.655,4.969
  4607 Seilandfarm (1987 WR),7.482,3.9683
  4608 Wodehouse (1988 BW3),7.629,13.944
  4611 Vulkaneifel (1989 GR6),11.266,3.756
  4613 Mamoru (1990 OM),10.882,5.388
  4614 Masamura (1990 QN),6.071,14.4
  4628 Laplace (1986 RU4),18.719,9.016
  4630 Chaonis (1987 WA),7.527,5.398
  4631 Yabu (1987 WE1),5.454,7.356
  4637 Odorico (1989 CT),6.298,7.560
  4638 Estens (1989 EG),4.595,3.029
  4639 Minox (1989 EK2),6.915,12.993
  4640 Hara (1989 GA),6.053,3.534
  4641 Ayako (1990 QT3),3.548,5.3126
  4643 Cisneros (1990 QD6),5.683,5.25
  4649 Sumoto (1936 YD),15.168,26.31
  4650 Mori (1950 TF),5.026,3.895
  4652 Iannini (1975 QO),6.279,11.69
  4653 Tommaso (1976 GJ2),7.839,7.417
  4655 Marjoriika (1978 RS),5.326,9.624
  4659 Roddenberry (1981 EP20),3.622,12.
  4660 Nereus (1982 DB),0.33,15.1
  4663 Falta (1984 SM1),28.824,9.545
  4666 Dietz (1986 JA1),6.827,2.95242
  4668 Rayjay (1987 DX5),13.911,6.506
  4670 Yoshinogawa (1987 YJ),4.394,17.130
  4673 Bortle (1988 LF),11.290,2.63989
  4674 Pauling (1989 JC),4.818,2.5306
  4678 Ninian (1990 SS4),5.003,56.72
  4683 Veratar (1976 GJ1),17.258,29.391
  4684 Bendjoya (1978 GJ),5.250,12.169
  4689 Donn (1980 YB),6.138,122.5
  4690 Strasbourg (1983 AJ),3.207,69.2
  4691 Toyen (1983 TU),7.089,3.5025
  4692 SIMBAD (1983 VM7),4.862,2.736
  4695 Mediolanum (1985 RU3),10.091,5.526
  4703 Kagoshima (1988 BL),4.310,4.092
  4706 Dennisreuter (1988 DR),5.622,2.578
  4707 Khryses (1988 PY),37.766,6.862
  4708 Polydoros (1988 RT),54.964,7.517
  4709 Ennomos (1988 TU2),91.433,12.275
  4711 Kathy (1989 KD),8.156,4.164
  4712 Iwaizumi (1989 QE),28.778,6.2486
  4713 Steel (1989 QL),6.286,5.199
  4714 Toyohiro (1989 SH),19.180,14.706
  4715 (1989 TS1),62.097,8.8129
  4716 Urey (1989 UL5),15.409,5.9260
  4718 Araki (1990 VP3),5.944,46.35
  4719 Burnaby (1990 WT2),10.298,13.01
  4722 Agelaos (4271 T-3),50.378,18.438
  4727 Ravel (1979 UD1),7.216,4.44
  4729 Mikhailmil' (1980 RO2),5.989,17.74
  4730 Xingmingzhou (1980 XZ),24.628,3.396
  4733 ORO (1982 HB2),4.721,5.880
  4734 Rameau (1982 UQ3),2.988,4.354
  4736 Johnwood (1983 AF2),2.839,6.210
  4739 Tomahrens (1985 TH1),6.983,5.104
  4741 Leskov (1985 VP3),17.047,30.
  4742 Caliumi (1986 WG),6.550,5.479
  4744 Rovereto (1988 RF5),19.189,4.0094
  4746 Doi (1989 TP1),21.925,20.903
  4749 Ledzeppelin (1989 WE1),14.343,8.1938
  4750 Mukai (1990 XC1),8.661,38.3
  4751 Alicemanning (1991 BG),17.595,15.894
  4754 Panthoos (5010 T-3),53.025,27.68
  4755 Nicky (1931 TE4),3.888,5.057
  4756 Asaramas (1950 HJ),11.644,16.536
  4758 Hermitage (1978 SN4),19.455,10.1505
  4760 Jia-xiang (1981 GN1),5.137,14.9601
  4764 Joneberhart (1983 CC),2.826,5.483
  4765 Wasserburg (1986 JN1),1.777,3.6231
  4768 Hartley (1988 PH1),34.349,22.08
  4769 Castalia (1989 PB),1.4,4.095
  4770 Lane (1989 PC),9.937,34.75
  4771 Hayashi (1989 RM2),12.510,9.801
  4773 Hayakawa (1989 WF),6.235,3.2401
  4774 Hobetsu (1991 CV1),5.017,3.577
  4786 Tatianina (1985 PE2),3.282,2.9227
  4787 Shul'zhenko (1986 RC7),5.046,2.892
  4789 Sprattia (1987 UU2),4.172,3.136
  4791 Iphidamas (1988 PB1),49.528,9.696
  4792 Lykaon (1988 RK1),50.870,40.09
  4795 Kihara (1989 CB1),4.088,16.03
  4797 Ako (1989 SJ),6.000,4.085
  4800 Veveri (1989 TG17),14.088,6.21570
  4801 Ohre (1989 UR4),13.961,32.000
  4803 Birkle (1989 XA),10.062,14.576
  4804 Pasteur (1989 XC1),15.427,13.69
  4805 Asteropaios (1990 VH7),57.647,12.372
  4806 Miho (1990 YJ),5.687,64.083
  4808 Ballaero (1925 BA),19.238,8.8976
  4816 Connelly (1981 PK),7.161,3.8978
  4817 Gliba (1984 DC1),3.792,12.
  4820 Fay (1985 RZ),8.599,3.73
  4824 Stradonice (1986 WL1),4.119,3.890
  4825 Ventura (1988 CS2),3.828,5.263
  4826 Wilhelms (1988 JO),7.926,54.
  4827 Dares (1988 QE),42.770,18.995
  4828 Misenus (1988 RV),45.954,12.873
  4832 Palinurus (1988 TU1),52.058,5.319
  4833 Meges (1989 AL2),80.165,14.250
  4834 Thoas (1989 AM2),72.331,18.192
  4836 Medon (1989 CK1),63.277,9.818
  4838 Billmclaughlin (1989 NJ),10.251,5.199
  4841 Manjiro (1989 UO3),5.324,2.66
  4844 Matsuyama (1991 BA2),7.578,2.7232
  4853 Marielukac (1979 ML),6.239,7.946
  4856 Seaborg (1983 LJ),10.390,15.853
  4858 Vorobjov (1985 UA),3.310,11.780
  4859 Fraknoi (1986 TJ2),6.937,7.846
  4860 Gubbio (1987 EP),23.151,19.36
  4861 Nemirovskij (1987 QU10),6.581,6.983
  4863 Yasutani (1987 VH1),9.807,8.616
  4867 Polites (1989 SZ),57.251,11.235
  4868 Knushevia (1989 UN2),1.535,3.1422
  4870 Shcherban' (1989 UK8),20.018,3.476
  4871 Riverside (1989 WH1),5.082,6.051
  4874 Burke (1991 AW),9.287,3.657
  4875 Ingalls (1991 DJ),5.504,3.78
  4877 Humboldt (5066 T-2),6.828,3.491213
  4878 Gilhutton (1968 OF),2.553,6.281
  4880 Tovstonogov (1975 TR4),8.908,5.400
  4890 Shikanosima (1982 VE4),4.656,16.476
  4894 Ask (1986 RJ),5.018,3.636
  4895 Embla (1986 TK4),5.317,14.90
  4896 Tomoegozen (1986 YA),26.803,8.869
  4898 Nishiizumi (1988 FJ),2.178,3.2920
  4899 Candace (1988 JU),6.526,40.7
  4902 Thessandrus (1989 AN2),51.263,738.
  4904 Makio (1989 WZ),6.992,7.830
  4905 Hiromi (1991 JM1),8.374,6.0428
  4908 Ward (1933 SD),4.903,10.96
  4909 Couteau (1949 SA1),5.324,5.054
  4910 Kawasato (1953 PR),4.383,4.662
  4911 Rosenzweig (1953 UD),9.971,12.713
  4914 Pardina (1969 GD),10.900,4.142
  4916 Brumberg (1970 PS),16.507,6.683
  4917 Yurilvovia (1973 SC6),8.410,1.1
  4919 Vishnevskaya (1974 SR1),3.612,3.634
  4923 Clarke (1981 EO27),3.367,3.143
  4924 Hiltner (1981 EQ40),2.263,4.9
  4925 Zhoushan (1981 XH2),14.424,7.8656
  4927 O'Connell (1982 UP2),7.040,9.78
  4928 Vermeer (1982 UG7),3.388,3.687
  4930 Rephiltim (1983 AO2),35.676,5.243
  4931 Tomsk (1983 CN3),7.618,7.02
  4933 Tylerlinder (1984 EN1),5.277,3.46
  4935 Maslachkova (1985 PD2),5.327,2.90192
  4936 Butakov (1985 UY4),4.465,13.828
  4937 Lintott (1986 CL1),9.788,3.123
  4943 Lac d'Orient (1987 OQ),6.439,11.81
  4944 Kozlovskij (1987 RP3),11.125,3.573
  4945 Ikenozenni (1987 SJ),7.441,22.501
  4946 Askalaphus (1988 BW1),48.209,22.731
  4949 Akasofu (1988 WE),4.460,2.6798
  4951 Iwamoto (1990 BM),5.192,118.0
  4952 Kibeshigemaro (1990 FC1),19.233,9.166
  4954 Eric (1990 SQ),10.8,12.056
  4956 Noymer (1990 VG1),5.611,4.366
  4957 Brucemurray (1990 XJ),3.499,2.892
  4959 Niinoama (1991 PA1),35.842,4.73
  4962 Vecherka (1973 TP),9.951,336.
  4963 Kanroku (1977 DR1),11.306,2.616
  4965 Takeda (1981 EP28),4.755,12.550
  4967 Glia (1983 CF1),30.022,6.933
  4971 Hoshinohiroba (1989 BY),4.653,10.1461
  4974 Elford (1990 LA),8.224,6.5635
  4975 Dohmoto (1990 SZ1),17.723,6.9618
  4976 Choukyongchol (1991 PM),16.930,4.416
  4979 Otawara (1949 PQ),3.204,2.707
  4986 Osipovia (1979 SL7),5.829,3.984
  4990 Trombka (1981 ET26),4.459,4.927
  4994 Kisala (1983 RK3),5.495,39.240
  4996 Veisberg (1986 PX5),5.735,10.069
  4997 Ksana (1986 TM),9.860,3.4342
  4998 Kabashima (1986 VG),15.669,6.138
  5004 Bruch (1988 RR3),3.619,3.4566
  5006 Teller (1989 GL5),12.877,10.898
  5008 Miyazawakenji (1991 DV),7.206,13.52
