SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS
Q060,P.S. 060 Woodhaven,1,GEN ED,172,8,21.5,20,23
Q060,P.S. 060 Woodhaven,1,CTT,24,1,24,24,24
Q062,P.S. 062 Chester Park,1,GEN ED,159,7,22.7,22,24
Q063,P.S. 063 Old South,1,GEN ED,150,7,21.4,21,22
Q063,P.S. 063 Old South,1,CTT,21,1,21,21,21
Q064,P.S. 064 Joseph P. Addabbo,1,GEN ED,110,4,27.5,27,28
Q065,P.S. 65 - The Raymond York Elementary School,1,GEN ED,64,3,21.3,18,26
Q065,P.S. 65 - The Raymond York Elementary School,1,CTT,24,1,24,24,24
Q066,P.S. 066 Jacqueline Kennedy Onassis,1,GEN ED,53,2,26.5,26,27
Q066,P.S. 066 Jacqueline Kennedy Onassis,1,CTT,25,1,25,25,25
Q090,P.S. 090 Horace Mann,1,GEN ED,94,4,23.5,22,25
Q090,P.S. 090 Horace Mann,1,CTT,24,1,24,24,24
Q096,P.S. 096,1,GEN ED,54,2,27,27,27
Q097,P.S. 097 Forest Park,1,GEN ED,93,4,23.3,22,24
Q097,P.S. 097 Forest Park,1,CTT,28,1,28,28,28
Q100,P.S. 100 Glen Morris,1,GEN ED,137,5,27.4,26,29
Q100,P.S. 100 Glen Morris,1,CTT,23,1,23,23,23
Q104,P.S. 104 The Bays Water,1,GEN ED,42,2,21,19,23
Q104,P.S. 104 The Bays Water,1,CTT,28,1,28,28,28
Q105,P.S. 105 The Bay School,1,GEN ED,69,3,23,20,25
Q105,P.S. 105 The Bay School,1,CTT,21,1,21,21,21
Q106,P.S. 106,1,GEN ED,39,2,19.5,18,21
Q108,P.S. 108 Captain Vincent G. Fowler,1,GEN ED,204,9,22.7,20,26
Q108,P.S. 108 Captain Vincent G. Fowler,1,CTT,24,1,24,24,24
Q114,P.S. / M.S. 114 Belle Harbor,1,GEN ED,86,4,21.5,21,23
Q123,P.S. 123,1,GEN ED,78,3,26,26,26
Q123,P.S. 123,1,CTT,27,1,27,27,27
Q124,P.S. 124 Osmond A Church,1,GEN ED,108,4,27,25,28
Q124,P.S. 124 Osmond A Church,1,CTT,26,1,26,26,26
Q146,P.S. 146 Howard Beach,1,GEN ED,62,3,20.7,20,22
Q146,P.S. 146 Howard Beach,1,CTT,23,1,23,23,23
Q155,P.S. 155,1,GEN ED,81,3,27,26,28
Q155,P.S. 155,1,CTT,26,1,26,26,26
Q183,P.S. 183 Dr. Richard R. Green,1,GEN ED,39,2,19.5,19,20
Q183,P.S. 183 Dr. Richard R. Green,1,G&T,20,1,20,20,20
Q197,P.S. 197 The Ocean School,1,GEN ED,65,3,21.7,21,23
Q207,P.S. 207 Rockwood Park,1,GEN ED,84,3,28,28,28
Q207,P.S. 207 Rockwood Park,1,CTT,29,2,14.5,14,15
Q215,P.S. 215 Lucretia Mott,1,GEN ED,93,4,23.3,22,26
Q223,P.S. 223 Lyndon B. Johnson,1,GEN ED,90,5,18,16,19
Q232,P.S. 232 Lindenwood,1,GEN ED,132,5,26.4,24,32
Q253,P.S. 253,1,GEN ED,67,3,22.3,21,23
Q254,P.S. 254,1,GEN ED,70,3,23.3,23,24
Q254,P.S. 254,1,CTT,23,1,23,23,23
Q306,New York City Academy for Discovery,1,GEN ED,79,3,26.3,26,27
Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,1,GEN ED,53,2,26.5,24,29
Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,1,CTT,23,1,23,23,23
Q138,P.S. 138 Sunrise,1,GEN ED,81,4,20.3,20,21
Q333,Goldie Maple Academy,1,GEN ED,64,4,16,8,19
Q030,P.S. 030 Queens,1,GEN ED,63,3,21,19,22
Q030,P.S. 030 Queens,1,CTT,19,1,19,19,19
Q040,P.S. 040 Samuel Huntington,1,GEN ED,84,4,21,17,23
Q048,P.S. 048 William Wordsworth,1,GEN ED,64,3,21.3,20,22
Q050,P.S. 050 Talfourd Lawn Elementary School,1,GEN ED,113,5,22.6,19,24
Q050,P.S. 050 Talfourd Lawn Elementary School,1,CTT,19,1,19,19,19
Q054,P.S. 054 Hillside,1,GEN ED,86,4,21.5,21,22
Q055,P.S. 055 Maure,1,GEN ED,90,4,22.5,22,23
Q080,P.S. 080 Thurgood Marshall Magnet,1,GEN ED,66,3,22,18,24
Q080,P.S. 080 Thurgood Marshall Magnet,1,CTT,24,1,24,24,24
Q082,P.S. 082 Hammond,1,GEN ED,103,4,25.8,25,26
Q099,P.S. 099 Kew Gardens,1,GEN ED,95,4,23.8,22,25
Q099,P.S. 099 Kew Gardens,1,CTT,26,1,26,26,26
Q101,P.S. 101 School in the Gardens,1,GEN ED,99,4,24.8,24,25
Q117,P.S. 117 J. Keld / Briarwood School,1,GEN ED,161,6,26.8,25,30
Q117,P.S. 117 J. Keld / Briarwood School,1,CTT,20,1,20,20,20
Q121,P.S. 121 Queens,1,GEN ED,116,6,19.3,18,20
Q121,P.S. 121 Queens,1,CTT,16,1,16,16,16
Q139,P.S. 139 Rego Park,1,GEN ED,126,5,25.2,24,27
Q139,P.S. 139 Rego Park,1,CTT,24,1,24,24,24
Q140,P.S. 140 Edward K Ellington,1,GEN ED,95,4,23.8,23,25
Q144,P.S. 144 Col Jeromus Remsen,1,GEN ED,69,3,23,23,23
Q144,P.S. 144 Col Jeromus Remsen,1,CTT,15,1,15,15,15
Q144,P.S. 144 Col Jeromus Remsen,1,G&T,28,1,28,28,28
Q160,P.S. 160 Walter Francis Bishop,1,GEN ED,117,5,23.4,22,24
Q160,P.S. 160 Walter Francis Bishop,1,CTT,21,1,21,21,21
Q161,P.S. 161 Arthur Ashe School,1,GEN ED,95,4,23.8,22,25
Q161,P.S. 161 Arthur Ashe School,1,CTT,21,1,21,21,21
Q174,P.S. 174 William Sidney Mount,1,GEN ED,50,2,25,25,25
Q174,P.S. 174 William Sidney Mount,1,CTT,25,1,25,25,25
Q174,P.S. 174 William Sidney Mount,1,G&T,26,1,26,26,26
Q175,P.S. 175 The Lynn Gross Discovery School,1,GEN ED,131,5,26.2,25,27
Q182,P.S. 182 Samantha Smith,1,GEN ED,227,9,25.2,23,27
Q182,P.S. 182 Samantha Smith,1,CTT,27,1,27,27,27
Q196,P.S. 196 Grand Central Parkway,1,GEN ED,94,4,23.5,22,24
Q206,P.S. 206 The Horace Harding School,1,GEN ED,74,3,24.7,23,27
Q206,P.S. 206 The Horace Harding School,1,CTT,17,1,17,17,17
Q220,P.S. 220 Edward Mandel,1,GEN ED,51,2,25.5,25,26
Q220,P.S. 220 Edward Mandel,1,CTT,26,1,26,26,26
Q220,P.S. 220 Edward Mandel,1,G&T,18,1,18,18,18
Q303,The Academy for Excellence through the Arts,1,GEN ED,25,1,25,25,25
Q303,The Academy for Excellence through the Arts,1,CTT,22,1,22,22,22
Q015,P.S. 015 Jackie Robinson,1,GEN ED,23,1,23,23,23
Q015,P.S. 015 Jackie Robinson,1,CTT,24,1,24,24,24
Q033,P.S. 033 Edward M. Funk,1,GEN ED,151,6,25.2,24,26
Q033,P.S. 033 Edward M. Funk,1,CTT,26,1,26,26,26
Q034,P.S. 034 John Harvard,1,GEN ED,91,4,22.8,22,24
Q035,P.S. 035 Nathaniel Woodhull,1,GEN ED,112,5,22.4,21,27
Q036,P.S. 036 Saint Albans School,1,GEN ED,62,3,20.7,20,21
Q037,Cynthia Jenkins School,1,GEN ED,64,3,21.3,20,24
Q037,Cynthia Jenkins School,1,CTT,19,1,19,19,19
Q038,P.S. 038 Rosedale,1,GEN ED,28,1,28,28,28
Q052,P.S. 052 Queens,1,GEN ED,56,2,28,27,29
Q052,P.S. 052 Queens,1,CTT,27,1,27,27,27
Q095,P.S. 095 Eastwood,1,GEN ED,201,8,25.1,21,29
Q095,P.S. 095 Eastwood,1,CTT,24,1,24,24,24
Q116,PS/IS 116 William C. Hughley,1,GEN ED,89,4,22.3,20,23
Q116,PS/IS 116 William C. Hughley,1,CTT,21,1,21,21,21
Q118,P.S. 118 Lorraine Hansberry,1,GEN ED,94,4,23.5,23,24
Q131,P.S. 131 Abigail Adams,1,GEN ED,129,5,25.8,25,26
Q132,P.S. 132 Ralph Bunche,1,GEN ED,47,2,23.5,22,25
Q134,P.S. 134 Hollis,1,GEN ED,74,3,24.7,24,25
Q135,The Bellaire School,1,GEN ED,142,5,28.4,27,29
Q135,The Bellaire School,1,CTT,28,1,28,28,28
Q136,P.S. 136 Roy Wilkins,1,GEN ED,80,4,20,14,24
Q136,P.S. 136 Roy Wilkins,1,CTT,25,1,25,25,25
Q147,PS/MS 147 Ronald McNair,1,GEN ED,74,3,24.7,24,25
Q156,P.S. 156 Laurelton,1,GEN ED,49,2,24.5,24,25
Q156,P.S. 156 Laurelton,1,CTT,25,1,25,25,25
Q176,P.S. 176 Cambria Heights,1,GEN ED,104,4,26,24,31
Q176,P.S. 176 Cambria Heights,1,CTT,24,1,24,24,24
Q181,P.S. 181 Brookfield,1,GEN ED,56,3,18.7,18,19
Q195,P.S. 195 William Haberle,1,GEN ED,78,4,19.5,19,20
Q208,P.S. / I.S. 208,1,GEN ED,69,3,23,21,24
Q251,P.S. 251 Queens,1,GEN ED,66,3,22,19,24
Q251,P.S. 251 Queens,1,CTT,16,1,16,16,16
Q268,PS/IS 268,1,GEN ED,64,3,21.3,20,23
Q270,The Gordon Parks School,1,GEN ED,69,3,23,17,26
Q295,P.S./I.S. 295,1,GEN ED,55,2,27.5,26,29
Q002,P.S. 002 Alfred Zimberg,1,GEN ED,108,4,27,26,28
Q011,P.S. 011 Kathryn Phelan,1,GEN ED,164,7,23.4,21,27
Q011,P.S. 011 Kathryn Phelan,1,CTT,23,1,23,23,23
Q017,P.S. 017 Henry David Thoreau,1,GEN ED,65,3,21.7,21,22
Q017,P.S. 017 Henry David Thoreau,1,CTT,25,1,25,25,25
Q069,P.S. 069 Jackson Heights,1,GEN ED,187,9,20.8,18,25
Q070,P.S. 070 Queens,1,GEN ED,159,7,22.7,17,25
Q076,P.S. 076 William Hallet,1,GEN ED,40,2,20,19,21
Q076,P.S. 076 William Hallet,1,CTT,37,2,18.5,13,24
Q078,P.S. 078,1,GEN ED,30,2,15,15,15
Q084,P.S. 084 Steinway,1,GEN ED,35,2,17.5,16,19
Q085,P.S. 085 Judge Charles Vallone,1,GEN ED,55,3,18.3,17,20
Q085,P.S. 085 Judge Charles Vallone,1,G&T,23,1,23,23,23
Q092,P.S. 092 Harry T. Stewart Sr.,1,GEN ED,150,6,25,20,29
Q111,P.S. 111 Jacob Blackwell,1,GEN ED,43,2,21.5,21,22
Q112,P.S. 112 Dutch Kills,1,GEN ED,55,2,27.5,27,28
Q112,P.S. 112 Dutch Kills,1,CTT,28,1,28,28,28
Q122,P.S. 122 Mamie Fay,1,GEN ED,148,8,18.5,15,24
Q122,P.S. 122 Mamie Fay,1,CTT,25,1,25,25,25
Q127,P.S. 127 Aerospace Science Magne,1,GEN ED,141,6,23.5,20,25
Q127,P.S. 127 Aerospace Science Magne,1,CTT,25,1,25,25,25
Q148,P.S. 148 Queens,1,GEN ED,177,7,25.3,22,27
Q149,P.S. 149 Christa Mcauliffe,1,GEN ED,131,5,26.2,21,31
Q149,P.S. 149 Christa Mcauliffe,1,CTT,29,1,29,29,29
Q150,P.S. 150 Queens,1,GEN ED,120,5,24,20,27
Q150,P.S. 150 Queens,1,CTT,43,2,21.5,21,22
Q150,P.S. 150 Queens,1,G&T,20,1,20,20,20
Q151,P.S. 151 Mary D. Carter,1,GEN ED,57,3,19,18,21
Q151,P.S. 151 Mary D. Carter,1,CTT,19,1,19,19,19
Q152,Q152 - P.S. 152 Gwendoline N. Alleyne School,1,GEN ED,187,8,23.4,20,25
Q152,Q152 - P.S. 152 Gwendoline N. Alleyne School,1,CTT,21,1,21,21,21
Q166,P.S. 166 Henry Gradstein,1,GEN ED,150,6,25,17,31
Q166,P.S. 166 Henry Gradstein,1,G&T,18,1,18,18,18
Q171,P.S. 171 Peter G. Van Alst,1,GEN ED,74,4,18.5,14,22
Q171,P.S. 171 Peter G. Van Alst,1,CTT,21,1,21,21,21
Q212,P.S. 212,1,GEN ED,103,4,25.8,25,26
Q212,P.S. 212,1,CTT,25,1,25,25,25
Q222,P.S. Q222 - Fire Fighter Christopher A. Santora School,1,GEN ED,87,4,21.8,18,25
Q228,P.S. 228 Early Childhood Magnet School of the Arts,1,GEN ED,69,3,23,17,28
Q228,P.S. 228 Early Childhood Magnet School of the Arts,1,CTT,49,2,24.5,24,25
Q234,P.S. 234,1,GEN ED,100,4,25,23,26
R001,P.S. 001 Tottenville,1,GEN ED,68,3,22.7,22,23
R001,P.S. 001 Tottenville,1,CTT,24,1,24,24,24
R003,P.S. 003 The Margaret Gioiosa School,1,GEN ED,141,5,28.2,27,29
R003,P.S. 003 The Margaret Gioiosa School,1,G&T,29,1,29,29,29
R004,P.S. 004 Maurice Wollin,1,GEN ED,60,3,20,19,21
R004,P.S. 004 Maurice Wollin,1,CTT,59,3,19.7,16,26
R005,P.S. 005 Huguenot,1,GEN ED,33,2,16.5,16,17
R006,P.S. 6 Corporal Allan F. Kivlehan School,1,GEN ED,111,4,27.8,26,29
R006,P.S. 6 Corporal Allan F. Kivlehan School,1,CTT,27,1,27,27,27
R008,P.S. 8 Shirlee Solomon,1,GEN ED,47,3,15.7,15,17
R011,P.S. 11 Thomas Dongan School,1,GEN ED,34,2,17,16,18
R013,P.S. 013 M. L. Lindemeyer,1,GEN ED,108,4,27,25,28
R013,P.S. 013 M. L. Lindemeyer,1,CTT,24,1,24,24,24
R014,P.S. 014 Cornelius Vanderbilt,1,GEN ED,123,5,24.6,23,25
R016,P.S. 016 John J. Driscoll,1,GEN ED,112,5,22.4,21,26
R016,P.S. 016 John J. Driscoll,1,CTT,23,1,23,23,23
R018,P.S. 018 John G. Whittier,1,GEN ED,69,3,23,23,23
R018,P.S. 018 John G. Whittier,1,CTT,24,1,24,24,24
R019,P.S. 019 The Curtis School,1,GEN ED,99,4,24.8,24,26
R020,P.S. 020 Port Richmond,1,GEN ED,78,3,26,25,27
R020,P.S. 020 Port Richmond,1,CTT,24,1,24,24,24
R021,P.S. 21 Margaret Emery-Elm Park,1,GEN ED,77,3,25.7,22,28
R022,P.S. 022 Graniteville,1,GEN ED,137,6,22.8,16,27
R022,P.S. 022 Graniteville,1,CTT,23,1,23,23,23
R023,P.S. 023 Richmondtown,1,GEN ED,58,3,19.3,19,20
R026,P.S. 026 The Carteret School,1,GEN ED,24,1,24,24,24
R029,P.S. 029 Bardwell,1,GEN ED,103,4,25.8,24,28
R029,P.S. 029 Bardwell,1,CTT,26,1,26,26,26
R030,P.S. 030 Westerleigh,1,GEN ED,125,5,25,23,26
R030,P.S. 030 Westerleigh,1,CTT,25,1,25,25,25
R031,P.S. 031 William T. Davis,1,GEN ED,49,2,24.5,24,25
R031,P.S. 031 William T. Davis,1,CTT,24,1,24,24,24
R032,P.S. 032 The Gifford School,1,GEN ED,104,4,26,26,26
R032,P.S. 032 The Gifford School,1,CTT,26,1,26,26,26
R035,P.S. 35 The Clove Valley School,1,GEN ED,58,3,19.3,18,21
R036,P.S. 036 J. C. Drumgoole,1,GEN ED,109,5,21.8,15,24
R036,P.S. 036 J. C. Drumgoole,1,CTT,24,1,24,24,24
R038,P.S. 038 George Cromwell,1,GEN ED,43,2,21.5,21,22
R038,P.S. 038 George Cromwell,1,CTT,17,1,17,17,17
R039,P.S. 39 Francis J. Murphy Jr.,1,GEN ED,62,3,20.7,19,22
R039,P.S. 39 Francis J. Murphy Jr.,1,CTT,23,1,23,23,23
R041,P.S. 041 New Dorp,1,GEN ED,77,3,25.7,25,26
R041,P.S. 041 New Dorp,1,CTT,26,1,26,26,26
R042,P.S. 042 Eltingville,1,GEN ED,113,5,22.6,21,28
R042,P.S. 042 Eltingville,1,CTT,24,1,24,24,24
R044,P.S. 044 Thomas C. Brown,1,GEN ED,98,5,19.6,17,21
R044,P.S. 044 Thomas C. Brown,1,CTT,24,1,24,24,24
R045,P.S. 045 John Tyler,1,GEN ED,126,5,25.2,25,26
R045,P.S. 045 John Tyler,1,CTT,23,1,23,23,23
R046,P.S. 046 Albert V. Maniscalco,1,GEN ED,48,2,24,23,25
R048,P.S. 048 William C. Wilcox,1,GEN ED,88,4,22,19,23
R050,P.S. 050 Frank Hankinson,1,GEN ED,66,3,22,21,23
R050,P.S. 050 Frank Hankinson,1,CTT,26,1,26,26,26
R050,P.S. 050 Frank Hankinson,1,G&T,57,2,28.5,26,31
R052,P.S. 052 John C. Thompson,1,GEN ED,82,3,27.3,26,29
R052,P.S. 052 John C. Thompson,1,CTT,26,1,26,26,26
R053,P.S. 053 Bay Terrace,1,GEN ED,64,3,21.3,21,22
R053,P.S. 053 Bay Terrace,1,CTT,25,1,25,25,25
R054,P.S. 054 Charles W. Leng,1,GEN ED,114,5,22.8,20,27
R054,P.S. 054 Charles W. Leng,1,CTT,24,1,24,24,24
R055,P.S. 055 Henry M. Boehm,1,GEN ED,86,4,21.5,21,22
R055,P.S. 055 Henry M. Boehm,1,CTT,21,1,21,21,21
R056,P.S. 56 The Louis Desario School,1,GEN ED,103,5,20.6,19,22
R057,P.S. 057 Hubert H. Humphrey,1,GEN ED,75,3,25,24,26
R057,P.S. 057 Hubert H. Humphrey,1,CTT,29,1,29,29,29
R058,Space Shuttle Columbia School,1,GEN ED,99,4,24.8,24,25
R058,Space Shuttle Columbia School,1,CTT,25,1,25,25,25
R060,P.S. 060 Alice Austen,1,GEN ED,104,4,26,25,27
R060,P.S. 060 Alice Austen,1,CTT,25,1,25,25,25
R065,P.S. 65 The Academy of Innovative Learning,1,GEN ED,53,2,26.5,26,27
R069,P.S. 069 Daniel D. Tompkins,1,GEN ED,108,6,18,12,20
R069,P.S. 069 Daniel D. Tompkins,1,CTT,24,1,24,24,24
R069,P.S. 069 Daniel D. Tompkins,1,G&T,25,1,25,25,25
R074,P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,1,GEN ED,20,1,20,20,20
R080,The Michael J. Petrides School,1,GEN ED,82,3,27.3,27,28
R861,Staten Island School of Civic Leadership,1,GEN ED,62,2,31,31,31
K045,P.S. 045 Horace E. Greene,1,GEN ED,112,6,18.7,17,20
K075,P.S. 075 Mayda Cortiella,1,GEN ED,85,4,21.3,20,24
K075,P.S. 075 Mayda Cortiella,1,CTT,21,1,21,21,21
K086,P.S. 086 The Irvington,1,GEN ED,61,3,20.3,19,22
K086,P.S. 086 The Irvington,1,CTT,20,1,20,20,20
K106,P.S. 106 Edward Everett Hale,1,GEN ED,89,4,22.3,21,23
K106,P.S. 106 Edward Everett Hale,1,CTT,19,1,19,19,19
K116,P.S. 116 Elizabeth L Farrell,1,GEN ED,71,3,23.7,22,26
K116,P.S. 116 Elizabeth L Farrell,1,CTT,25,1,25,25,25
K123,P.S. 123 Suydam,1,GEN ED,130,6,21.7,15,24
K123,P.S. 123 Suydam,1,CTT,23,1,23,23,23
K145,P.S. 145 Andrew Jackson,1,GEN ED,124,6,20.7,19,22
K145,P.S. 145 Andrew Jackson,1,CTT,19,1,19,19,19
K151,P.S. 151 Lyndon B. Johnson,1,GEN ED,43,2,21.5,19,24
K151,P.S. 151 Lyndon B. Johnson,1,CTT,23,1,23,23,23
K274,P.S. 274 Kosciusko,1,GEN ED,95,4,23.8,23,25
K299,P.S. 299 Thomas Warren Field,1,GEN ED,56,3,18.7,18,20
K376,P.S. 376,1,GEN ED,91,4,22.8,21,24
K376,P.S. 376,1,G&T,23,1,23,23,23
K377,P.S. 377 Alejandrina B. De Gautier,1,GEN ED,46,2,23,18,28
K377,P.S. 377 Alejandrina B. De Gautier,1,CTT,25,1,25,25,25
K384,P.S. /I.S. 384 Frances E. Carter,1,GEN ED,82,4,20.5,17,23
M015,P.S. 015 Roberto Clemente,2,GEN ED,15,1,15,15,15
M015,P.S. 015 Roberto Clemente,2,CTT,17,1,17,17,17
M019,P.S. 019 Asher Levy,2,GEN ED,46,2,23,22,24
M020,P.S. 020 Anna Silver,2,GEN ED,55,3,18.3,16,21
M020,P.S. 020 Anna Silver,2,CTT,22,1,22,22,22
M034,P.S. 034 Franklin D. Roosevelt,2,GEN ED,24,1,24,24,24
M034,P.S. 034 Franklin D. Roosevelt,2,CTT,20,1,20,20,20
M063,P.S. 063 William McKinley,2,CTT,25,1,25,25,25
M064,P.S. 064 Robert Simon,2,GEN ED,20,1,20,20,20
M064,P.S. 064 Robert Simon,2,CTT,20,1,20,20,20
M110,P.S. 110 Florence Nightingale,2,GEN ED,39,2,19.5,14,25
M110,P.S. 110 Florence Nightingale,2,CTT,19,1,19,19,19
M134,P.S. 134 Henrietta Szold,2,GEN ED,39,2,19.5,19,20
M134,P.S. 134 Henrietta Szold,2,CTT,21,1,21,21,21
M137,P.S. 137 John L. Bernstein,2,GEN ED,22,1,22,22,22
M140,P.S. 140 Nathan Straus,2,CTT,22,1,22,22,22
M142,P.S. 142 Amalia Castro,2,GEN ED,25,1,25,25,25
M142,P.S. 142 Amalia Castro,2,CTT,22,1,22,22,22
M184,P.S. 184m Shuang Wen,2,GEN ED,74,3,24.7,24,25
M188,P.S. 188 The Island School,2,GEN ED,20,1,20,20,20
M315,The East Village Community School,2,CTT,24,2,12,9,15
M361,The Children's Workshop School,2,GEN ED,43,3,14.3,10,19
M363,Neighborhood School,2,GEN ED,37,3,12.3,11,14
M363,Neighborhood School,2,CTT,13,1,13,13,13
M539,New Explorations into Science; Technology and Math High School,2,GEN ED,101,4,25.3,24,26
M001,P.S. 001 Alfred E. Smith,2,GEN ED,53,3,17.7,17,18
M001,P.S. 001 Alfred E. Smith,2,CTT,22,1,22,22,22
M002,P.S. 002 Meyer London,2,GEN ED,114,5,22.8,20,24
M002,P.S. 002 Meyer London,2,CTT,23,1,23,23,23
M006,P.S. 006 Lillie D. Blake,2,GEN ED,100,4,25,24,26
M006,P.S. 006 Lillie D. Blake,2,CTT,51,2,25.5,25,26
M011,P.S. 011 William T. Harris,2,GEN ED,40,2,20,19,21
M011,P.S. 011 William T. Harris,2,CTT,22,1,22,22,22
M011,P.S. 011 William T. Harris,2,G&T,40,2,20,20,20
M033,P.S. 033 Chelsea Prep,2,GEN ED,23,1,23,23,23
M033,P.S. 033 Chelsea Prep,2,CTT,22,1,22,22,22
M040,P.S. 040 Augustus Saint-Gaudens,2,GEN ED,60,3,20,20,20
M040,P.S. 040 Augustus Saint-Gaudens,2,CTT,24,1,24,24,24
M041,P.S. 041 Greenwich Village,2,GEN ED,97,4,24.3,24,25
M041,P.S. 041 Greenwich Village,2,CTT,24,1,24,24,24
M042,P.S. 042 Benjamin Altman,2,GEN ED,119,5,23.8,22,25
M051,P.S. 051 Elias Howe,2,GEN ED,28,1,28,28,28
M051,P.S. 051 Elias Howe,2,CTT,31,1,31,31,31
M059,P.S. 059 Beekman Hill International,2,GEN ED,68,3,22.7,22,23
M059,P.S. 059 Beekman Hill International,2,CTT,20,1,20,20,20
M077,P.S. 77 Lower Lab School,2,G&T,56,2,28,28,28
M089,P.S. 89,2,GEN ED,78,3,26,25,27
M089,P.S. 89,2,CTT,26,1,26,26,26
M111,P.S. 111 Adolph S. Ochs,2,GEN ED,31,2,15.5,15,16
M111,P.S. 111 Adolph S. Ochs,2,CTT,16,1,16,16,16
M116,P.S. 116 Mary Lindley Murray,2,GEN ED,113,4,28.3,25,30
M116,P.S. 116 Mary Lindley Murray,2,CTT,28,1,28,28,28
M124,P.S. 124 Yung Wing,2,GEN ED,108,4,27,26,28
M124,P.S. 124 Yung Wing,2,CTT,17,1,17,17,17
M124,P.S. 124 Yung Wing,2,G&T,30,1,30,30,30
M126,P.S. 126 Jacob August Riis,2,GEN ED,35,2,17.5,17,18
M126,P.S. 126 Jacob August Riis,2,CTT,16,1,16,16,16
M130,P.S. 130 Hernando De Soto,2,GEN ED,137,5,27.4,26,28
M130,P.S. 130 Hernando De Soto,2,G&T,25,1,25,25,25
M150,P.S. 150,2,GEN ED,27,1,27,27,27
M158,P.S. 158 Bayard Taylor,2,GEN ED,73,3,24.3,23,26
M158,P.S. 158 Bayard Taylor,2,CTT,49,2,24.5,24,25
M183,P.S. 183 Robert L. Stevenson,2,GEN ED,75,3,25,23,27
M183,P.S. 183 Robert L. Stevenson,2,CTT,25,1,25,25,25
M198,P.S. 198 Isador E. Ida Straus,2,GEN ED,66,3,22,22,22
M198,P.S. 198 Isador E. Ida Straus,2,CTT,23,1,23,23,23
M212,P.S. 212 Midtown West,2,GEN ED,56,2,28,28,28
M217,P.S./I.S. 217 Roosevelt Island,2,GEN ED,28,2,14,14,14
M325,P.S. 325,2,GEN ED,59,3,19.7,18,21
M225,Ella Baker School,2,GEN ED,29,3,9.7,9,10
M234,P.S. 234 Independence School,2,GEN ED,129,5,25.8,24,28
M234,P.S. 234 Independence School,2,CTT,51,2,25.5,24,27
M276,BATTERY PARK CITY SCHOOL,2,GEN ED,44,2,22,22,22
M290,P.S. 290 Manhattan New School,2,GEN ED,103,4,25.8,25,26
M290,P.S. 290 Manhattan New School,2,CTT,26,1,26,26,26
M347,The 47 American Sign Language & English Lower School,2,CTT,9,1,9,9,9
M009,P.S. 009 Sarah Anderson,2,GEN ED,26,1,26,26,26
M009,P.S. 009 Sarah Anderson,2,CTT,25,1,25,25,25
M009,P.S. 009 Sarah Anderson,2,G&T,26,1,26,26,26
M075,P.S. 075 Emily Dickinson,2,GEN ED,60,3,20,19,21
M075,P.S. 075 Emily Dickinson,2,CTT,39,2,19.5,18,21
M076,P.S. 076 A. Philip Randolph,2,GEN ED,33,2,16.5,16,17
M084,P.S. 084 Lillian Weber,2,GEN ED,90,4,22.5,20,29
M087,P.S. 087 William Sherman,2,GEN ED,119,5,23.8,22,26
M087,P.S. 087 William Sherman,2,CTT,50,2,25,25,25
M145,P.S. 145; The Bloomingdale School,2,GEN ED,43,2,21.5,21,22
M145,P.S. 145; The Bloomingdale School,2,CTT,19,1,19,19,19
M149,P.S. 149 Sojourner Truth,2,GEN ED,37,2,18.5,17,20
M163,P.S. 163 Alfred E. Smith,2,GEN ED,49,2,24.5,23,26
M163,P.S. 163 Alfred E. Smith,2,CTT,26,1,26,26,26
M163,P.S. 163 Alfred E. Smith,2,G&T,17,1,17,17,17
M165,P.S. 165 Robert E. Simon,2,GEN ED,65,3,21.7,19,27
M165,P.S. 165 Robert E. Simon,2,CTT,24,1,24,24,24
M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,2,GEN ED,47,2,23.5,23,24
M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,2,G&T,50,2,25,25,25
M180,P.S. 180 Hugo Newman,2,GEN ED,80,4,20,19,21
M185,P.S. 185 John M. Langston,2,GEN ED,49,2,24.5,23,26
M185,P.S. 185 John M. Langston,2,CTT,21,1,21,21,21
M191,P.S. 191 Amsterdam,2,GEN ED,26,1,26,26,26
M199,P.S. 199 Jessie Isador Straus,2,GEN ED,146,6,24.3,24,25
M241,P.S. 241 Family Academy,2,GEN ED,10,1,10,10,10
M242,PS M242-Gwendolyn Powell Brown Computer School,2,GEN ED,13,1,13,13,13
M242,PS M242-Gwendolyn Powell Brown Computer School,2,CTT,10,1,10,10,10
M333,P.S. 333 Manhattan School for Children,2,GEN ED,62,3,20.7,20,21
M333,P.S. 333 Manhattan School for Children,2,CTT,20,1,20,20,20
M334,The Anderson School,2,G&T,81,3,27,27,27
M859,Special Music School,2,GEN ED,15,1,15,15,15
M007,P.S. 007 Samuel Stern,2,GEN ED,34,2,17,17,17
M012,Tag Young Scholars,2,GEN ED,47,2,23.5,23,24
