SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS
K326,P.S. 326,1,GEN ED,98,5,19.6,18,21
K326,P.S. 326,1,CTT,18,1,18,18,18
K361,P.S. 361 East Flatbush Early Childhood School,1,GEN ED,162,7,23.1,22,24
K361,P.S. 361 East Flatbush Early Childhood School,1,CTT,20,1,20,20,20
K041,P.S. 041 Francis White,1,GEN ED,55,3,18.3,17,20
K041,P.S. 041 Francis White,1,CTT,18,1,18,18,18
K073,P.S. 073 Thomas S. Boyland,1,GEN ED,52,2,26,25,27
K137,P.S./I.S. 137 Rachel Jean Mitchell,1,GEN ED,37,2,18.5,18,19
K150,P.S. 150 Christopher,1,GEN ED,35,2,17.5,16,19
K155,P.S./ I.S. 155 Nicholas Herkimer,1,GEN ED,55,3,18.3,16,20
K156,P.S. 156 Waverly,1,GEN ED,124,5,24.8,24,26
K156,P.S. 156 Waverly,1,CTT,21,1,21,21,21
K165,P.S. 165 Ida Posner,1,GEN ED,55,3,18.3,18,19
K178,P.S. 178 Saint Clair Mckelway,1,GEN ED,55,3,18.3,18,19
K184,P.S. 184 Newport,1,GEN ED,27,1,27,27,27
K184,P.S. 184 Newport,1,CTT,21,1,21,21,21
K284,P.S. 284 Lew Wallace,1,GEN ED,31,1,31,31,31
K284,P.S. 284 Lew Wallace,1,CTT,29,1,29,29,29
K298,P.S. 298 Dr. Betty Shabazz,1,GEN ED,53,2,26.5,25,28
K323,P.S./I.S. 323,1,GEN ED,41,2,20.5,20,21
K327,P.S. 327 Dr. Rose B. English,1,GEN ED,74,3,24.7,24,26
K332,P.S. 332 Charles H. Houston,1,GEN ED,43,2,21.5,21,22
K631,General D. Chappie James Elementary School of Science,1,GEN ED,55,2,27.5,27,28
K631,General D. Chappie James Elementary School of Science,1,CTT,23,1,23,23,23
Q007,P.S. 007 Louis F. Simeone,1,GEN ED,292,11,26.5,25,28
Q007,P.S. 007 Louis F. Simeone,1,CTT,27,1,27,27,27
Q012,P.S. 012 James B. Colgate,1,GEN ED,198,7,28.3,27,30
Q012,P.S. 012 James B. Colgate,1,CTT,27,1,27,27,27
Q013,P.S. 013 Clement C. Moore,1,GEN ED,227,7,32.4,32,34
Q014,P.S. 014 Fairview,1,GEN ED,225,8,28.1,24,30
Q014,P.S. 014 Fairview,1,CTT,23,1,23,23,23
Q016,P.S. Q016,1,GEN ED,197,7,28.1,24,31
Q016,P.S. Q016,1,CTT,28,1,28,28,28
Q016,P.S. Q016,1,G&T,17,1,17,17,17
Q019,P.S. 019 Marino Jeantet,1,GEN ED,248,11,22.5,11,25
Q019,P.S. 019 Marino Jeantet,1,CTT,25,1,25,25,25
Q028,P.S. 28 - The Thomas Emanuel Early Childhood Center,1,GEN ED,118,5,23.6,20,25
