DateOfBite,Breed,Age,Gender,SpayNeuter,Borough
April 19 2015,American Pit Bull Terrier/Pit Bull,5,M,TRUE,Brooklyn
April 22 2015,Maltese,7,F,TRUE,Brooklyn
April 23 2015,Cane Corso,15,F,FALSE,Brooklyn
April 23 2015,PARSON RUSSELLTERR,2,M,TRUE,Brooklyn
April 25 2015,Shih Tzu,5,M,TRUE,Brooklyn
April 26 2015,American Staffordshire Terrier,2,M,FALSE,Brooklyn
April 25 2015,American Pit Bull Terrier/Pit Bull,3,M,FALSE,Brooklyn
April 25 2015,American Pit Bull Terrier/Pit Bull,3,M,FALSE,Brooklyn
April 27 2015,American Pit Bull Terrier/Pit Bull,2,M,FALSE,Brooklyn
April 25 2015,German Shepherd,7,M,TRUE,Brooklyn
April 11 2015,American Pit Bull Terrier/Pit Bull,3,F,TRUE,Brooklyn
April 29 2015,Pug,3,M,TRUE,Brooklyn
April 29 2015,POINTER/BEAGLE X,7,F,FALSE,Brooklyn
April 29 2015,SHIBA INU,5,M,TRUE,Brooklyn
April 26 2015,Chihuahua,2,F,FALSE,Brooklyn
April 30 2015,GERMAN SHEPHERD/RIDGEBACK,5,M,TRUE,Brooklyn
May 01 2015,Bichon Frise,8,M,TRUE,Brooklyn
May 01 2015,STAFFORDSHIRE TERR,7,F,TRUE,Brooklyn
May 02 2015,Collie; Border,14,M,TRUE,Brooklyn
May 01 2015,Boxer,2,M,TRUE,Brooklyn
May 01 2015,MALTESE - X,3,F,FALSE,Brooklyn
May 06 2015,Collie; Smooth Coat,10,F,TRUE,Brooklyn
May 06 2015,CHIHUAHUA/BOSTON TERR X,5,M,TRUE,Brooklyn
April 08 2015,HUSKY/CATTLE DOG MIX,4,M,TRUE,Brooklyn
April 08 2015,HUSKY/CATTLE MIX,4,M,TRUE,Brooklyn
May 10 2015,American Pit Bull Terrier/Pit Bull,13,M,TRUE,Brooklyn
May 10 2015,American Staffordshire Terrier,2,M,FALSE,Brooklyn
May 09 2015,Siberian Husky,14,M,TRUE,Brooklyn
May 09 2015,American Pit Bull Mix / Pit Bull Mix,5,F,TRUE,Brooklyn
May 01 2015,American Staffordshire Terrier,8,M,TRUE,Brooklyn
May 07 2015,Australian Shepherd,5,M,TRUE,Brooklyn
May 09 2015,American Pit Bull Terrier/Pit Bull,8,M,TRUE,Brooklyn
May 11 2015,American Pit Bull Terrier/Pit Bull,2,F,FALSE,Brooklyn
April 25 2015,Shih Tzu,4,M,TRUE,Brooklyn
May 10 2015,American Pit Bull Mix / Pit Bull Mix,3,F,FALSE,Brooklyn
May 12 2015,American Pit Bull Mix / Pit Bull Mix,5,M,TRUE,Brooklyn
May 12 2015,Bloodhound,4,M,TRUE,Brooklyn
May 12 2015,Jack Russ,10,M,TRUE,Brooklyn
May 14 2015,Cocker Spaniel; American,10,M,TRUE,Brooklyn
May 14 2015,American Pit Bull Terrier/Pit Bull,6,M,FALSE,Brooklyn
April 28 2015,American Pit Bull Mix / Pit Bull Mix,1,M,TRUE,Brooklyn
May 18 2015,American Staffordshire Terrier,2,M,FALSE,Brooklyn
May 18 2015,American Staffordshire Terrier,2,M,FALSE,Brooklyn
January 08 2015,American Pit Bull Terrier/Pit Bull,1,M,TRUE,Brooklyn
May 12 2015,Cane Corso,5,F,TRUE,Brooklyn
May 20 2015,MUTT,1,F,TRUE,Brooklyn
May 24 2015,MIXED,2,M,TRUE,Brooklyn
May 24 2015,PIT BULL/LAB X,2,F,FALSE,Brooklyn
May 24 2015,PIT BULL/LAB X,2,F,FALSE,Brooklyn
May 25 2015,Labrador Retriever,3,F,FALSE,Brooklyn
May 23 2015,Mastiff; Tibetan,1,M,TRUE,Brooklyn
May 23 2015,MALTESE MIX,4,M,TRUE,Brooklyn
May 23 2015,American Pit Bull Mix / Pit Bull Mix,6,M,TRUE,Brooklyn
May 28 2015,American Pit Bull Mix / Pit Bull Mix,3,M,FALSE,Brooklyn
May 30 2015,West High White Terrier,4,M,FALSE,Brooklyn
May 30 2015,West High White Terrier,4,M,FALSE,Brooklyn
May 31 2015,Chihuahua,1,M,FALSE,Brooklyn
May 29 2015,Labrador Retriever Crossbreed,8,F,TRUE,Brooklyn
June 02 2015,Chow Chow,1,M,FALSE,Brooklyn
June 02 2015,Doberman Pinscher,7,M,TRUE,Brooklyn
June 01 2015,Yorkshire Terrier,2,M,FALSE,Brooklyn
June 03 2015,SHORKY,8,M,TRUE,Brooklyn
May 31 2015,HAVANESE X,4,M,TRUE,Brooklyn
May 27 2015,BLUE HEELER X,9,M,TRUE,Brooklyn
June 04 2015,Pit Bull,3,F,TRUE,Brooklyn
June 04 2015,American Pit Bull Terrier/Pit Bull,4,M,FALSE,Brooklyn
June 04 2015,Yorkshire Terrier,2,M,TRUE,Brooklyn
June 06 2015,Chow Chow,4,M,FALSE,Brooklyn
June 05 2015,Lhasa Apso,5,M,TRUE,Brooklyn
June 06 2015,Poodle; Standard,3,M,TRUE,Brooklyn
June 07 2015,Pointer; German Shorthaired,8,F,TRUE,Brooklyn
May 30 2015,Chow Chow,2,M,FALSE,Brooklyn
June 10 2015,Cane Corso,2,M,FALSE,Brooklyn
June 09 2015,ENGLISH SETTER,6,M,FALSE,Brooklyn
June 09 2015,American Pit Bull Mix / Pit Bull Mix,2,F,FALSE,Brooklyn
June 14 2015,TERRIER MIX,6,M,TRUE,Brooklyn
June 14 2015,Jack Russ,3,F,TRUE,Brooklyn
June 12 2015,Jack Russ,2,M,TRUE,Brooklyn
June 16 2015,DOBERMAN X,1,F,FALSE,Brooklyn
June 14 2015,American Eskimo,5,M,TRUE,Brooklyn
June 19 2015,American Staffordshire Terrier,7,F,TRUE,Brooklyn
June 07 2015,Chihuahua,3,M,TRUE,Brooklyn
June 22 2015,Golden Retriever,12,F,TRUE,Brooklyn
June 22 2015,MALTESE/CHIHUAHUA X,1,M,FALSE,Brooklyn
June 19 2015,Pit Bull,5,M,TRUE,Brooklyn
June 18 2015,American Pit Bull Terrier/Pit Bull,2,M,TRUE,Brooklyn
June 22 2015,Maltese,7,F,TRUE,Brooklyn
June 21 2015,Jack Russ,12,F,TRUE,Brooklyn
June 23 2015,American Pit Bull Terrier/Pit Bull,1,M,FALSE,Brooklyn
June 25 2015,American Staffordshire Terrier,3,M,FALSE,Brooklyn
June 28 2015,American Pit Bull Terrier/Pit Bull,5,M,FALSE,Brooklyn
June 26 2015,Maltese,1,M,FALSE,Brooklyn
June 21 2015,Mixed/Other,2,M,FALSE,Brooklyn
July 01 2015,Vizsla,4,M,TRUE,Brooklyn
March 17 2015,Jack Russ,10,M,FALSE,Brooklyn
June 13 2015,HUSKY/LAB X,8,F,TRUE,Brooklyn
July 04 2015,American Pit Bull Terrier/Pit Bull,2,M,FALSE,Brooklyn
July 02 2015,Chihuahua,3,M,FALSE,Brooklyn
July 03 2015,CHOW CHOW/SHEPARD X,12,M,FALSE,Brooklyn
July 04 2015,MALTIPOO,6,M,TRUE,Brooklyn
June 29 2015,BORDER COLLIE/POINTER X,6,M,TRUE,Brooklyn
July 08 2015,ENG SETTER,6,M,FALSE,Brooklyn
July 05 2015,Wire Fox Terrier,8,M,TRUE,Brooklyn
July 12 2015,American Pit Bull Mix / Pit Bull Mix,3,F,FALSE,Brooklyn
July 14 2015,American Pit Bull Mix / Pit Bull Mix,2,M,FALSE,Brooklyn
July 04 2015,Jack Russ,1,M,TRUE,Brooklyn
July 10 2015,Golden Retriever,5,M,TRUE,Brooklyn
July 10 2015,German Shepherd Crossbreed,6,M,FALSE,Brooklyn
July 06 2015,Yorkshire Terrier,6,F,FALSE,Brooklyn
July 01 2015,German Shepherd,6,M,FALSE,Brooklyn
July 08 2015,POODLE/CHIHUAHUA X,2,M,FALSE,Brooklyn
July 16 2015,Pit Bull,2,F,FALSE,Brooklyn
July 17 2015,Basset Hound,3,M,TRUE,Brooklyn
July 15 2015,German Shepherd,8,F,FALSE,Brooklyn
July 16 2015,Shiba Inu,1,M,TRUE,Brooklyn
July 21 2015,Cocker Spaniel,13,M,TRUE,Brooklyn
July 19 2015,Pit Bull,4,M,TRUE,Brooklyn
July 19 2015,Bull Terrier,2,M,FALSE,Brooklyn
July 18 2015,American Pit Bull Terrier/Pit Bull,3,M,FALSE,Brooklyn
July 22 2015,Belgian Malinois,1,M,FALSE,Brooklyn
July 22 2015,PIT BULL/BOXER X,2,M,TRUE,Brooklyn
July 22 2015,PIT BULL/BULL DOG,2,M,TRUE,Brooklyn
July 22 2015,American Pit Bull Terrier/Pit Bull,6,F,FALSE,Brooklyn
July 22 2015,Yorkshire Terrier,6,M,TRUE,Brooklyn
July 25 2015,Maltese,1,M,FALSE,Brooklyn
July 25 2015,Shiba Inu,1,M,TRUE,Brooklyn
July 28 2015,RED-NOSE PIT BULL,9,M,TRUE,Brooklyn
July 29 2015,Doberman Pinscher,9,F,FALSE,Brooklyn
June 22 2015,Maltese,7,F,FALSE,Brooklyn
July 29 2015,MUTT,2,M,TRUE,Brooklyn
July 29 2015,Shih Tzu,5,F,FALSE,Brooklyn
July 31 2015,Labrador Retriever,10,M,TRUE,Brooklyn
August 02 2015,Bull Dog; English,9,M,TRUE,Brooklyn
August 02 2015,American Pit Bull Terrier/Pit Bull,4,M,FALSE,Brooklyn
July 31 2015,American Pit Bull Terrier/Pit Bull,3,M,FALSE,Brooklyn
August 03 2015,WHIPPET X,6,F,TRUE,Brooklyn
July 25 2015,Chihuahua,3,M,FALSE,Brooklyn
August 04 2015,Alaskan Klee Kai,1,M,TRUE,Brooklyn
August 05 2015,Yorkshire Terrier,3,M,TRUE,Brooklyn
August 06 2015,Jack Russ,7,M,TRUE,Brooklyn
August 07 2015,American Pit Bull Terrier/Pit Bull,1,F,FALSE,Brooklyn
July 28 2015,American Pit Bull Mix / Pit Bull Mix,3,M,TRUE,Brooklyn
August 10 2015,Shih Tzu,4,F,FALSE,Brooklyn
August 07 2015,Jack Russ,3,M,FALSE,Brooklyn
August 07 2015,AUST CATTLE DOG,1,M,FALSE,Brooklyn
August 11 2015,Bull Dog; French,8,M,TRUE,Brooklyn
August 11 2015,Yorkshire Terrier,1,F,FALSE,Brooklyn
August 11 2015,AMER STAFFORDSHIRE X,6,F,TRUE,Brooklyn
August 08 2015,Akita,3,M,FALSE,Brooklyn
August 14 2015,JACK RUSSELL/ CHIHUAHUA,4,M,FALSE,Brooklyn
August 06 2015,Shih Tzu,4,M,FALSE,Brooklyn
August 15 2015,American Staffordshire Terrier,10,M,FALSE,Brooklyn
August 16 2015,Labrador Retriever Crossbreed,2,F,TRUE,Brooklyn
August 16 2015,German Shepherd,3,M,TRUE,Brooklyn
August 16 2015,Yorkshire Terrier,14,M,TRUE,Brooklyn
August 19 2015,Jack Russ,7,F,TRUE,Brooklyn
August 19 2015,American Staffordshire Terrier,5,M,TRUE,Brooklyn
August 17 2015,Chihuahua,8,M,TRUE,Brooklyn
August 21 2015,Pit Bull,6,F,TRUE,Brooklyn
August 09 2015,Bull dog,3,M,FALSE,Brooklyn
August 21 2015,Cane Corso,2,M,FALSE,Brooklyn
August 23 2015,American Pit Bull Terrier/Pit Bull,1,F,FALSE,Brooklyn
August 11 2015,Labrador Retriever,5,M,TRUE,Brooklyn
August 19 2015,Poodle; Miniature,2,M,FALSE,Brooklyn
August 13 2015,American Pit Bull Terrier/Pit Bull,7,F,FALSE,Brooklyn
August 26 2015,POODLE/BOXER X,1,M,TRUE,Brooklyn
August 27 2015,Shih Tzu,8,M,FALSE,Brooklyn
August 11 2015,Jack Russ,2,M,TRUE,Brooklyn
August 27 2015,YORKSHIRE TER/SHIHTZU,3,M,TRUE,Brooklyn
August 10 2015,Labrador Retriever Crossbreed,3,F,TRUE,Brooklyn
