DateOfBite,Breed,Age,Gender,SpayNeuter,Borough
December 31 2017,Mastiff; Bull,6,M,TRUE,Brooklyn
December 31 2017,RAT TERRIER,14,M,FALSE,Brooklyn
December 29 2017,Bull Dog; English,4,M,TRUE,Brooklyn
January 07 2015,MUTT,4,M,FALSE,Bronx
January 11 2015,CHIHUAHUA MIX,1,M,FALSE,Bronx
January 14 2015,TERRIER MIX,1,F,TRUE,Bronx
January 14 2015,Siberian Husky,2,F,FALSE,Bronx
January 19 2015,BULLDOG MIX,3,F,FALSE,Bronx
January 17 2015,Jack Russ,4,M,FALSE,Bronx
January 21 2015,DOGUE DE BORDX,3,M,FALSE,Bronx
January 23 2015,Shih Tzu,3,M,FALSE,Bronx
January 28 2015,Cane Corso,1,M,FALSE,Bronx
January 23 2015,Poodle; Miniature,6,F,FALSE,Bronx
January 25 2015,Bull Dog; French,1,M,FALSE,Bronx
January 29 2015,Beagle,5,F,FALSE,Bronx
January 30 2015,Chihuahua,4,M,FALSE,Bronx
January 22 2015,Mixed/Other,5,F,TRUE,Bronx
February 05 2015,Mixed/Other,4,M,FALSE,Bronx
February 06 2015,Pit Bull,2,M,FALSE,Bronx
February 07 2015,CAROLINA DOG,1,M,FALSE,Bronx
February 07 2015,CAROLINA DOG,1,M,FALSE,Bronx
February 02 2015,Pekingese,3,M,FALSE,Bronx
February 09 2015,AMERICAN STAFF/AKITA,4,F,FALSE,Bronx
February 05 2015,Jindo Dog;,14,F,TRUE,Bronx
February 15 2015,Pekingese,15,M,FALSE,Bronx
February 15 2015,Shiba Inu,5,M,FALSE,Bronx
February 14 2015,American Pit Bull Mix / Pit Bull Mix,4,M,FALSE,Bronx
February 14 2015,American Pit Bull Mix / Pit Bull Mix,1,M,FALSE,Bronx
February 16 2015,Siberian Husky,5,M,FALSE,Bronx
February 22 2015,Cocker Spaniel,1,M,FALSE,Bronx
February 21 2015,Jack Russ,3,M,TRUE,Bronx
February 24 2015,Bichon Frise,1,M,FALSE,Bronx
March 02 2015,Mixed/Other,6,M,FALSE,Bronx
February 28 2015,American Staffordshire Terrier,3,M,FALSE,Bronx
March 01 2015,Shih Tzu,2,M,FALSE,Bronx
February 27 2015,Bull Dog; English,3,M,TRUE,Bronx
March 08 2015,English Cocker Spaniel,1,M,FALSE,Bronx
March 06 2015,Yorkshire Terrier Crossbreed,2,F,FALSE,Bronx
February 07 2015,Pit Bull,2,M,FALSE,Bronx
March 13 2015,AUSTRALIAN BORDER COLLIE,4,M,TRUE,Bronx
March 14 2015,POODLE,8,M,FALSE,Bronx
March 15 2015,TERRIER MIX,2,M,FALSE,Bronx
February 27 2015,Pit Bull,4,M,TRUE,Bronx
March 17 2015,American Pit Bull Terrier/Pit Bull,4,M,FALSE,Bronx
March 19 2015,Pit Bull,1,F,FALSE,Bronx
March 11 2015,Pit Bull,1,M,FALSE,Bronx
March 14 2015,POODLE,2,F,FALSE,Bronx
March 23 2015,POINTER X,10,M,TRUE,Bronx
March 21 2015,CHIHUAHUA SHORTHAIR/ JACK RUSSELL TERRIER,3,M,FALSE,Bronx
March 18 2015,American Pit Bull Terrier/Pit Bull,2,M,FALSE,Bronx
February 27 2015,Mastiff; Bull,4,F,TRUE,Bronx
March 26 2015,Rottweiler,10,F,TRUE,Bronx
March 26 2015,Pit Bull,4,F,FALSE,Bronx
March 30 2015,Bull Dog; French,4,F,TRUE,Bronx
March 31 2015,Lhasa Apso,4,F,TRUE,Bronx
April 02 2015,MINI PINSCHER/ CHIHUAHUA,2,M,FALSE,Bronx
April 01 2015,CHIHUAHUA MIX,8,M,TRUE,Bronx
April 05 2015,Yorkshire Terrier,5,F,TRUE,Bronx
April 04 2015,Australian Shepherd,5,M,TRUE,Bronx
April 10 2015,American Pit Bull Terrier/Pit Bull,5,M,FALSE,Bronx
April 13 2015,Pit Bull,2,M,FALSE,Bronx
April 12 2015,Shih Tzu,2,M,FALSE,Bronx
April 16 2015,Shih Tzu,1,M,TRUE,Bronx
April 14 2015,Yorkshire Terrier Crossbreed,6,M,TRUE,Bronx
April 18 2015,Pointer,10,M,TRUE,Bronx
April 12 2015,Jack Russ,1,M,FALSE,Bronx
April 22 2015,Pit Bull,1,M,TRUE,Bronx
April 26 2015,Pit Bull,1,F,FALSE,Bronx
April 26 2015,Bichon Frise,14,M,FALSE,Bronx
April 28 2015,Pit Bull,5,M,FALSE,Bronx
April 29 2015,Pit Bull,5,M,FALSE,Bronx
May 01 2015,Pit Bull,8,M,FALSE,Bronx
April 28 2015,Chihuahua,12,F,FALSE,Bronx
May 04 2015,American Pit Bull Terrier/Pit Bull,1,M,FALSE,Bronx
May 05 2015,Mixed/Other,0.6,F,FALSE,Bronx
May 05 2015,Chihuahua,1,M,FALSE,Bronx
May 09 2015,Pekingese,4,M,FALSE,Bronx
May 12 2015,Saint Bernard,4,M,TRUE,Bronx
May 13 2015,Chihuahua,2,F,TRUE,Bronx
May 07 2015,Shih Tzu,1,F,FALSE,Bronx
May 13 2015,Pit Bull,2,F,FALSE,Bronx
May 19 2015,Pit Bull,5,M,FALSE,Bronx
May 15 2015,Labrador Retriever,5,M,TRUE,Bronx
May 19 2015,BORDER COLLIE & AUSTRALIAN BLUE HEELER,1,M,FALSE,Bronx
May 20 2015,Chihuahua Crossbreed,1,M,FALSE,Bronx
May 24 2015,Shih Tzu,1,F,FALSE,Bronx
May 24 2015,RED NOSE PIT,2,M,TRUE,Bronx
May 25 2015,American Pit Bull Terrier/Pit Bull,1,F,TRUE,Bronx
May 27 2015,Pit Bull,1,F,TRUE,Bronx
May 24 2015,Pekingese,8,F,TRUE,Bronx
May 25 2015,STAFFORDSHIRE TERRIER,3,M,FALSE,Bronx
May 22 2015,American Pit Bull Mix / Pit Bull Mix,4,F,TRUE,Bronx
May 30 2015,JACK RUSS TER/ BEAGLE,4,M,TRUE,Bronx
May 29 2015,Chihuahua Crossbreed,4,M,FALSE,Bronx
May 29 2015,Pit Bull,2,M,FALSE,Bronx
May 29 2015,Pit Bull,2,M,FALSE,Bronx
May 29 2015,Pit Bull,2,M,FALSE,Bronx
June 04 2015,Beagle,1,F,FALSE,Bronx
June 02 2015,Pit Bull,2,M,FALSE,Bronx
May 01 2015,Pit Bull,2,F,TRUE,Bronx
June 06 2015,Basset Hound,4,M,TRUE,Bronx
June 07 2015,Chihuahua,2,M,TRUE,Bronx
June 07 2015,Pit Bull,4,M,TRUE,Bronx
June 07 2015,Maltese,2,M,TRUE,Bronx
June 04 2015,SHIH TZU/POODLE,6,M,FALSE,Bronx
June 09 2015,American Pit Bull Terrier/Pit Bull,6,F,TRUE,Bronx
June 13 2015,POODLE- X,6,M,TRUE,Bronx
June 14 2015,Chihuahua Crossbreed,4,M,FALSE,Bronx
June 18 2015,Pit Bull,5,M,FALSE,Bronx
June 15 2015,Yorkshire Terrier,3,F,FALSE,Bronx
June 20 2015,POMERANIAN ENGLISH SPANIEL,6,M,TRUE,Bronx
June 21 2015,Pit Bull,2,M,FALSE,Bronx
June 22 2015,Pit Bull,2,M,TRUE,Bronx
June 22 2015,BEAGLE/ ENG SPRINGER SPANIEL,1,F,TRUE,Bronx
June 23 2015,American Pit Bull Mix / Pit Bull Mix,2,M,FALSE,Bronx
June 23 2015,Maltese,4,M,TRUE,Bronx
June 26 2015,SHIH TZU/ YORKSHIRE TERR,5,M,FALSE,Bronx
June 21 2015,American Pit Bull Mix / Pit Bull Mix,2,F,FALSE,Bronx
June 30 2015,Miniature Pinscher,2,M,TRUE,Bronx
July 01 2015,Golden Retriever,11,F,TRUE,Bronx
July 04 2015,Shih Tzu,8,M,TRUE,Bronx
July 04 2015,Beagle,9,M,FALSE,Bronx
July 03 2015,MASTIFF,3,M,FALSE,Bronx
July 08 2015,Pit Bull,2,M,FALSE,Bronx
July 02 2015,Pit Bull,3,M,TRUE,Bronx
July 02 2015,Mastiff; Bull,7,M,FALSE,Bronx
July 10 2015,TERRIER/ YORKIE,2,F,FALSE,Bronx
July 09 2015,American Pit Bull Mix / Pit Bull Mix,2,F,FALSE,Bronx
July 11 2015,American Staffordshire Terrier,4,M,FALSE,Bronx
July 10 2015,Jack Russ,11,M,TRUE,Bronx
July 02 2015,Staffordshire Bull Terrier,4,M,TRUE,Bronx
July 13 2015,BLACK MOUTH CUR,3,M,TRUE,Bronx
July 13 2015,BLACK MOUTH CUR,3,M,TRUE,Bronx
July 15 2015,JACK RUSS/BULLY PIT BULL,4,M,FALSE,Bronx
July 13 2015,MUTT,12,M,TRUE,Bronx
July 17 2015,Cock-A-Poo,2,M,TRUE,Bronx
July 21 2015,American Pit Bull Terrier/Pit Bull,4,M,TRUE,Bronx
July 09 2015,AKITA/CHOW CHOW,2,M,FALSE,Bronx
July 19 2015,Pit Bull,2,M,FALSE,Bronx
July 11 2015,Pit Bull,7,M,FALSE,Bronx
July 23 2015,German Shepherd,1,M,TRUE,Bronx
August 01 2015,Shih Tzu,6,M,FALSE,Bronx
August 02 2015,Pit Bull,7,M,FALSE,Bronx
August 02 2015,Shih Tzu,4,M,FALSE,Bronx
July 30 2015,American Staffordshire Terrier,3,M,FALSE,Bronx
July 27 2015,Chihuahua,7,F,FALSE,Bronx
August 06 2015,Beagle,6,M,TRUE,Bronx
August 06 2015,Chihuahua,4,M,FALSE,Bronx
August 07 2015,Maltese,10,M,FALSE,Bronx
August 05 2015,Chihuahua,5,M,FALSE,Bronx
August 02 2015,Saint Bernard,4,M,FALSE,Bronx
August 11 2015,Bull dog,1,M,TRUE,Bronx
August 12 2015,Pit Bull,4,M,TRUE,Bronx
August 11 2015,Bull Dog; English,1,M,TRUE,Bronx
August 08 2015,AUSTRALIAN SHEP/DALMATION/PITBULL,3,M,TRUE,Bronx
August 17 2015,Cocker Spaniel,3,M,TRUE,Bronx
August 08 2015,German Shepherd,5,F,TRUE,Bronx
August 18 2015,Shih Tzu,4,M,FALSE,Bronx
August 14 2015,Pit Bull,4,M,FALSE,Bronx
August 17 2015,Pit Bull,4,M,FALSE,Bronx
August 18 2015,Chihuahua,2,M,FALSE,Bronx
August 20 2015,Rottweiler,2.5,M,FALSE,Bronx
August 23 2015,Pit Bull,1,F,FALSE,Bronx
August 22 2015,Shih Tzu,2,F,FALSE,Bronx
August 22 2015,RAT TERRIER,11,M,FALSE,Bronx
August 25 2015,Bull dog,11,F,TRUE,Bronx
August 26 2015,Yorkshire Terrier,2.5,M,FALSE,Bronx
August 30 2015,Cocker Spaniel,6,F,FALSE,Bronx
August 28 2015,Chihuahua Crossbreed,2,M,FALSE,Bronx
August 31 2015,Pit Bull,3,M,FALSE,Bronx
September 01 2015,Shih Tzu,5,F,TRUE,Bronx
September 07 2015,Shih Tzu,5,M,FALSE,Bronx
September 09 2015,SCHNAUZER/MALTESE,4,M,TRUE,Bronx
September 11 2015,American Pit Bull Mix / Pit Bull Mix,3,F,FALSE,Bronx
September 11 2015,American Pit Bull Mix / Pit Bull Mix,3,M,FALSE,Bronx
September 08 2015,Pit Bull,5,M,FALSE,Bronx
September 10 2015,Chihuahua,11,M,TRUE,Bronx
September 13 2015,Mixed/Other,2,F,FALSE,Bronx
September 09 2015,CHIHUAHUA- X,1,F,FALSE,Bronx
September 18 2015,Pit Bull,1,M,FALSE,Bronx
September 20 2015,CATTLE DOG,4,M,TRUE,Bronx
September 11 2015,CORGI MIX,5,M,FALSE,Bronx
September 23 2015,Bull dog,3,F,TRUE,Bronx
September 28 2015,Pit Bull,1,M,FALSE,Bronx
September 23 2015,American Pit Bull Terrier/Pit Bull,10,F,FALSE,Bronx
September 23 2015,BLUE NOSE PIT BULL,3,M,TRUE,Bronx
September 29 2015,Bull dog,2,M,FALSE,Bronx
September 07 2015,Shih Tzu,1,M,FALSE,Bronx
October 03 2015,Shih Tzu,4,F,FALSE,Bronx
October 09 2015,Rottweiler,6,M,TRUE,Bronx
October 09 2015,Pit Bull,2,F,FALSE,Bronx
October 10 2015,Pit Bull,5,F,TRUE,Bronx
October 10 2015,PIT BULL MIXED,5,F,TRUE,Bronx
October 08 2015,Pit Bull,4,M,FALSE,Bronx
October 17 2015,Pit Bull,4,F,TRUE,Bronx
October 16 2015,German Shepherd Crossbreed,8,M,FALSE,Bronx
September 28 2015,Pit Bull,1,M,FALSE,Bronx
October 23 2015,Pit Bull,3,M,TRUE,Bronx
October 15 2015,Chihuahua,6,M,FALSE,Bronx
October 27 2015,American Pit Bull Mix / Pit Bull Mix,3,M,FALSE,Bronx
November 04 2015,Shih Tzu,16,M,TRUE,Bronx
November 04 2015,Chihuahua,13,M,TRUE,Bronx
November 04 2015,American Pit Bull Terrier/Pit Bull,2,M,FALSE,Bronx
October 30 2015,Maltese,1,M,FALSE,Bronx
October 30 2015,Maltese,4,M,FALSE,Bronx
November 05 2015,American Pit Bull Mix / Pit Bull Mix,2,M,TRUE,Bronx
November 07 2015,Yorkshire Terrier,1,M,FALSE,Bronx
November 07 2015,POODLE CHIHUAHUA,6,F,TRUE,Bronx
November 06 2015,American Pit Bull Terrier/Pit Bull,3,M,TRUE,Bronx
October 31 2015,German Shepherd Crossbreed,6,M,TRUE,Bronx
November 04 2015,Pit Bull,2,M,FALSE,Bronx
November 04 2015,Pit Bull,1,F,TRUE,Bronx
November 10 2015,Pit Bull,5,M,FALSE,Bronx
November 07 2015,American Pit Bull Mix / Pit Bull Mix,4,M,FALSE,Bronx
November 12 2015,Pit Bull,8,F,TRUE,Bronx
November 15 2015,Pit Bull,4,M,FALSE,Bronx
November 13 2015,American Pit Bull Mix / Pit Bull Mix,4,M,TRUE,Bronx
November 17 2015,Wheaton Terrier,2,M,FALSE,Bronx
November 17 2015,Silky Terrier,6,M,TRUE,Bronx
November 22 2015,Chihuahua,2,F,FALSE,Bronx
November 23 2015,Pit Bull,2,M,FALSE,Bronx
November 22 2015,Labrador Retriever Crossbreed,10,F,FALSE,Bronx
November 23 2015,American Pit Bull Mix / Pit Bull Mix,1,M,FALSE,Bronx
November 26 2015,Pit Bull,5,F,FALSE,Bronx
December 01 2015,Poodle; Toy,3,M,FALSE,Bronx
December 06 2015,American Pit Bull Mix / Pit Bull Mix,2,M,FALSE,Bronx
November 07 2015,German Shepherd Crossbreed,1,F,FALSE,Bronx
December 07 2015,American Pit Bull Mix / Pit Bull Mix,7,M,FALSE,Bronx
December 05 2015,Beagle Crossbreed,6,M,TRUE,Bronx
December 06 2015,Beagle Crossbreed,6,M,TRUE,Bronx
December 09 2015,Chihuahua Crossbreed,7,F,FALSE,Bronx
December 05 2015,Pit Bull,1,F,TRUE,Bronx
December 11 2015,American Pit Bull Mix / Pit Bull Mix,3,M,FALSE,Bronx
December 12 2015,Poodle; Standard,7,F,FALSE,Bronx
December 12 2015,Pit Bull,2,M,TRUE,Bronx
December 14 2015,Pit Bull,3,M,FALSE,Bronx
December 07 2015,Schnauzer; Miniature,3,M,TRUE,Bronx
December 15 2015,American Pit Bull Mix / Pit Bull Mix,1,F,FALSE,Bronx
December 06 2015,American Pit Bull Mix / Pit Bull Mix,1,F,FALSE,Bronx
December 14 2015,Pit Bull,2,M,FALSE,Bronx
December 22 2015,Labrador Retriever Crossbreed,2,M,FALSE,Bronx
December 21 2015,Bichon Frise,12,F,TRUE,Bronx
December 23 2015,Beagle,2,M,FALSE,Bronx
December 30 2015,Maltese,2,M,FALSE,Bronx
December 29 2015,Pit Bull,1,M,FALSE,Bronx
December 31 2015,Yorkshire Terrier,6,M,TRUE,Bronx
January 02 2016,American Pit Bull Mix / Pit Bull Mix,6,M,TRUE,Bronx
January 03 2016,Shih Tzu,3,M,FALSE,Bronx
December 30 2015,American Pit Bull Mix / Pit Bull Mix,3,F,FALSE,Bronx
December 31 2015,Mixed/Other,7,M,TRUE,Bronx
January 04 2016,American Pit Bull Mix / Pit Bull Mix,3,M,FALSE,Bronx
December 31 2015,Pit Bull,7,F,TRUE,Bronx
January 03 2016,Chow Chow,1,M,FALSE,Bronx
January 03 2016,Bull dog,1,M,FALSE,Bronx
January 04 2016,German Shepherd,3,M,FALSE,Bronx
December 26 2015,Pit Bull,12,M,FALSE,Bronx
January 06 2016,PARSON TERR,7,M,FALSE,Bronx
January 10 2016,American Pit Bull Mix / Pit Bull Mix,3,M,FALSE,Bronx
January 09 2016,Pit Bull,3,M,FALSE,Bronx
January 06 2016,Irish Terrier,4,F,TRUE,Bronx
January 14 2016,Pit Bull,1,M,FALSE,Bronx
January 16 2016,Shih Tzu,6,M,FALSE,Bronx
January 13 2016,Shih Tzu,1,M,TRUE,Bronx
January 19 2016,Pit Bull,3,M,FALSE,Bronx
January 24 2016,Maltese,2,M,TRUE,Bronx
January 25 2016,Jack Russ,4,M,FALSE,Bronx
January 23 2016,Pekingese,6,F,TRUE,Bronx
January 05 2016,Bull Dog; English,4,M,TRUE,Bronx
January 14 2016,Bull Terrier,8,M,TRUE,Bronx
January 27 2016,Maltese,14,M,TRUE,Bronx
January 28 2016,Schipperkee,12,M,TRUE,Bronx
January 13 2016,Labrador Retriever,8,M,TRUE,Bronx
January 30 2016,Chihuahua,2,F,FALSE,Bronx
January 31 2016,Shih Tzu,3,M,FALSE,Bronx
January 30 2016,Pit Bull,1,M,TRUE,Bronx
January 29 2016,Chihuahua,4,M,FALSE,Bronx
February 02 2016,Puli,8,M,FALSE,Bronx
January 31 2016,CHIHUAHUA/SHIH TZU X,1,M,FALSE,Bronx
February 03 2016,Pit Bull,1,M,FALSE,Bronx
February 06 2016,Pit Bull,2,F,FALSE,Bronx
January 30 2016,Pit Bull,11,M,TRUE,Bronx
February 04 2016,Yorkshire Terrier,7,M,TRUE,Bronx
February 10 2016,Chihuahua,7,F,FALSE,Bronx
February 16 2016,Siberian Husky,3,M,FALSE,Bronx
February 16 2016,Pit Bull,2,M,TRUE,Bronx
February 18 2016,AUST TERRIER/ YORKIE,5,M,TRUE,Bronx
February 19 2016,DACHSHUND/ CHIHUAHUA,3,M,TRUE,Bronx
January 16 2016,Pit Bull,3,M,FALSE,Bronx
February 20 2016,Siberian Husky,11,M,TRUE,Bronx
February 25 2016,SHAR-PEI/PIT BULL,2,F,TRUE,Bronx
February 17 2016,Rottweiler,2,M,FALSE,Bronx
March 04 2016,Chow Chow,5,M,FALSE,Bronx
March 06 2016,Pit Bull,1,M,TRUE,Bronx
March 01 2016,Schnauzer; Standard,6,M,FALSE,Bronx
March 07 2016,Yorkshire Terrier,5,M,FALSE,Bronx
February 29 2016,CHIHUAHUA/PUG X,5,M,FALSE,Bronx
January 28 2016,Shar-Pei; Chinese,1,F,FALSE,Bronx
March 16 2016,AUSTRALIAN SHEEP DOG,3,M,TRUE,Bronx
March 13 2016,Chihuahua Crossbreed,4,F,TRUE,Bronx
March 18 2016,Pit Bull,1,M,FALSE,Bronx
March 09 2016,Pit Bull,1,F,TRUE,Bronx
March 22 2016,Pit Bull,5,F,FALSE,Bronx
March 18 2016,Labrador Retriever Crossbreed,2,M,FALSE,Bronx
March 19 2016,Staffordshire Bull Terrier,4,F,FALSE,Bronx
March 22 2016,Lhasa Apso,7,M,TRUE,Bronx
March 24 2016,Shih Tzu,3,M,FALSE,Bronx
March 23 2016,Pit Bull,2,M,FALSE,Bronx
March 26 2016,American Staffordshire Terrier,6,M,FALSE,Bronx
March 23 2016,Staffordshire Bull Terrier,3,F,FALSE,Bronx
March 29 2016,Pit Bull,1,M,FALSE,Bronx
March 23 2016,Chihuahua Crossbreed,2,M,TRUE,Bronx
March 26 2016,Pit Bull,6,M,FALSE,Bronx
March 28 2016,Chihuahua,3,F,FALSE,Bronx
March 21 2016,Lhasa Apso,2,M,FALSE,Bronx
April 02 2016,Cocker Spaniel,4,M,TRUE,Bronx
April 02 2016,Chihuahua,1,M,TRUE,Bronx
April 02 2016,Shih Tzu,2,M,FALSE,Bronx
April 07 2016,Pit Bull,1,F,FALSE,Bronx
April 09 2016,MUTT,4,M,TRUE,Bronx
April 02 2016,Pit Bull,4,M,TRUE,Bronx
March 03 2016,Mastiff; Bull,4,M,TRUE,Bronx
April 12 2016,Yorkshire Terrier,3,M,TRUE,Bronx
April 16 2016,Silky Terrier,14,F,TRUE,Bronx
April 15 2016,Pit Bull,5,F,TRUE,Bronx
April 16 2016,Chihuahua,7,M,TRUE,Bronx
April 15 2016,Pit Bull,6,M,FALSE,Bronx
April 20 2016,Pit Bull,2,M,FALSE,Bronx
April 20 2016,Chihuahua,5,M,TRUE,Bronx
April 23 2016,Pit Bull,1,M,TRUE,Bronx
April 24 2016,Pit Bull,5,M,TRUE,Bronx
April 24 2016,German Shepherd,4,M,TRUE,Bronx
April 27 2016,Pit Bull,5,M,FALSE,Bronx
April 28 2016,Pit Bull,3,M,FALSE,Bronx
April 23 2016,Beagle,10,F,FALSE,Bronx
April 20 2016,Pit Bull,1,M,FALSE,Bronx
May 01 2016,Shih Tzu,8,M,FALSE,Bronx
April 30 2016,Pit Bull,3,M,FALSE,Bronx
April 30 2016,Pit Bull,5,F,FALSE,Bronx
April 28 2016,Pit Bull,3,F,FALSE,Bronx
May 01 2016,Chihuahua,1,M,FALSE,Bronx
April 28 2016,Yorkshire Terrier,6,M,TRUE,Bronx
April 26 2016,FRENCH POODLE,2,M,TRUE,Bronx
April 27 2016,Pit Bull,5,M,FALSE,Bronx
May 05 2016,Rottweiler,2,M,TRUE,Bronx
May 09 2016,Pit Bull,10,M,FALSE,Bronx
May 08 2016,Pit Bull,3,M,TRUE,Bronx
April 30 2016,Pit Bull,9,M,TRUE,Bronx
April 30 2016,Pit Bull,1,M,TRUE,Bronx
May 12 2016,Jack Russ,8,M,TRUE,Bronx
May 12 2016,Bull dog,6,M,FALSE,Bronx
May 08 2016,Pit Bull,2,M,TRUE,Bronx
May 11 2016,Shih Tzu,9,F,FALSE,Bronx
May 08 2016,Cocker Spaniel,7,F,TRUE,Bronx
May 20 2016,Pit Bull,3,M,FALSE,Bronx
May 22 2016,Pit Bull,3,M,FALSE,Bronx
May 20 2016,Pit Bull,2,M,TRUE,Bronx
May 20 2016,Rottweiler,4,M,FALSE,Bronx
May 22 2016,Rottweiler,6,M,FALSE,Bronx
May 10 2016,Poodle; Toy,4,F,FALSE,Bronx
May 20 2016,Pit Bull,4,M,FALSE,Bronx
May 24 2016,Pit Bull,9,M,FALSE,Bronx
May 20 2016,American Staffordshire Terrier,5,M,FALSE,Bronx
May 14 2016,Basset Hound,10,M,TRUE,Bronx
May 30 2016,Labrador Retriever,8,F,TRUE,Bronx
May 29 2016,Maltese,10,F,FALSE,Bronx
May 30 2016,Pit Bull,9,M,FALSE,Bronx
May 28 2016,German Shepherd,2,M,FALSE,Bronx
May 27 2016,Boxer,2,M,FALSE,Bronx
June 02 2016,SHIH TZU/ POODLE,2,M,FALSE,Bronx
June 06 2016,Mixed/Other,5,M,FALSE,Bronx
June 05 2016,Shih Tzu,6,F,FALSE,Bronx
June 04 2016,Chihuahua,1,M,FALSE,Bronx
June 06 2016,Pekingese,3,M,FALSE,Bronx
June 08 2016,Chihuahua,3,F,FALSE,Bronx
June 08 2016,Maltese,2,M,FALSE,Bronx
June 10 2016,Pit Bull,5,M,FALSE,Bronx
June 13 2016,Pit Bull,4,M,FALSE,Bronx
June 11 2016,POODLE,6,M,FALSE,Bronx
June 07 2016,Siberian Husky,1,M,FALSE,Bronx
June 22 2016,German Shepherd,3,M,TRUE,Bronx
June 25 2016,Pit Bull,2,M,FALSE,Bronx
May 27 2016,Cotton De Tulear,1,M,TRUE,Bronx
June 22 2016,Pit Bull,1,M,FALSE,Bronx
June 29 2016,Pit Bull,1,M,FALSE,Bronx
July 02 2016,COLBY PIT BULL,5,F,FALSE,Bronx
July 04 2016,Pit Bull,1,M,FALSE,Bronx
July 06 2016,Belgian Malinois,3,M,TRUE,Bronx
July 02 2016,Dalmatian,5,F,TRUE,Bronx
July 08 2016,Miniature Pinscher,2,M,FALSE,Bronx
July 07 2016,PIT BULL TER/MIX WTH PINK NOSE,3,M,FALSE,Bronx
July 10 2016,Mixed/Other,3,M,FALSE,Bronx
July 11 2016,Pit Bull,6,M,FALSE,Bronx
July 11 2016,SHERPHARD MUSKEY MIX,11,M,FALSE,Bronx
July 13 2016,Lhasa Apso,12,M,FALSE,Bronx
July 17 2016,/SHIH TZU MIX,3,M,FALSE,Bronx
July 15 2016,Pit Bull,3,F,FALSE,Bronx
July 18 2016,Poodle; Toy,4,M,FALSE,Bronx
July 19 2016,SHIH TZU/ MALTESE,2,F,FALSE,Bronx
July 19 2016,Pit Bull,1,F,TRUE,Bronx
July 20 2016,Chihuahua Crossbreed,1,M,FALSE,Bronx
July 21 2016,COCKER SPANIEL MIX,10,M,TRUE,Bronx
July 22 2016,Chihuahua,3,M,FALSE,Bronx
July 23 2016,Pit Bull,4,M,FALSE,Bronx
July 24 2016,Jack Russ,1,F,FALSE,Bronx
July 25 2016,Jack Russ,7,M,TRUE,Bronx
July 27 2016,POODLE MIX,6,M,FALSE,Bronx
July 27 2016,MALTIPOO,7,M,TRUE,Bronx
July 29 2016,Labrador Retriever Crossbreed,3,F,FALSE,Bronx
July 30 2016,POODLE MIX,3,M,TRUE,Bronx
August 01 2016,Yorkshire Terrier,2,F,FALSE,Bronx
July 28 2016,Maltese,3,M,TRUE,Bronx
August 03 2016,SHIH TZU/ POODLE,10,M,TRUE,Bronx
August 04 2016,Shih Tzu,1,M,TRUE,Bronx
August 07 2016,Pit Bull,9,M,TRUE,Bronx
August 08 2016,Pit Bull,3,M,TRUE,Bronx
July 05 2016,Pit Bull,2,F,TRUE,Bronx
August 11 2016,ROTTWEILER / PIT BULL,7,M,TRUE,Bronx
August 15 2016,American Pit Bull Mix / Pit Bull Mix,3,M,FALSE,Bronx
July 11 2016,Staffordshire Bull Terrier,3,M,TRUE,Bronx
August 18 2016,Pit Bull,3,M,FALSE,Bronx
August 18 2016,Maltese,3,M,FALSE,Bronx
August 21 2016,PIT BULL TER/ALASKAN HUSKY,3,F,FALSE,Bronx
August 20 2016,Pit Bull,6,F,TRUE,Bronx
August 21 2016,PIT BULL TER/ALASKAN HUSKY,3,F,FALSE,Bronx
August 21 2016,PIT BULL TERR/ALASKAN HUSKY,3,F,FALSE,Bronx
August 22 2016,PIT BULL MIX,16,M,FALSE,Bronx
August 23 2016,Pit Bull,5,M,FALSE,Bronx
August 24 2016,Chihuahua,4,F,TRUE,Bronx
August 27 2016,Pit Bull,10,F,FALSE,Bronx
August 29 2016,Jack Russ,15,M,FALSE,Bronx
August 27 2016,Akita,5,M,TRUE,Bronx
August 30 2016,Pit Bull,3,F,FALSE,Bronx
August 30 2016,Pit Bull,3,F,FALSE,Bronx
August 30 2016,Pit Bull,3,F,FALSE,Bronx
August 31 2016,Shih Tzu,5,M,FALSE,Bronx
August 31 2016,Shih Tzu,5,M,FALSE,Bronx
September 04 2016,Pit Bull,1.6,M,TRUE,Bronx
September 06 2016,Cane Corso,3,M,FALSE,Bronx
September 02 2016,PIT BULL TERRIER,14,F,FALSE,Bronx
September 05 2016,Cocker Spaniel,2,F,FALSE,Bronx
September 07 2016,Pit Bull,2,F,FALSE,Bronx
September 08 2016,KING SHEPHARD / PIT BULL MIX,3,M,FALSE,Bronx
September 11 2016,MALTESE/YORKSHIRE TERRIER,1,M,FALSE,Bronx
September 09 2016,Pit Bull,2,F,FALSE,Bronx
September 11 2016,Chihuahua,7,F,FALSE,Bronx
September 10 2016,Cocker Spaniel,4,M,FALSE,Bronx
September 09 2016,Yorkshire Terrier,7,M,TRUE,Bronx
September 12 2016,NEWFOUNDLAND,5,F,FALSE,Bronx
September 12 2016,SHIH TZU/ CHIHUAHUA MIX,6,M,TRUE,Bronx
September 07 2016,CHIHUAHUA / POMERANIAN MIX,3,F,TRUE,Bronx
September 15 2016,Pit Bull,1,M,FALSE,Bronx
